Gen,N,Low,High,F_mean,F_sd,Ln_mean,Ln_sd
0,488,21,134,0.00,3.12,4.0741,0.297336
1,96,38,144,3.03,3.26,4.362859,0.310678
2,43,76,166,7.09,1.46,4.749777,0.139138
3,51,84,146,6.87,1.24,4.728811,0.118172
4,40,84,182,8.22,1.70,4.857466,0.16201
5,88,63,242,8.22,2.59,4.857466,0.246827
6,27,91,155,7.22,1.43,4.762166,0.136279
7,22,72,144,6.30,2.21,4.67449,0.210613
8,48,70,137,4.99,1.76,4.549647,0.167728
9,57,64,181,7.84,2.52,4.821252,0.240156
10,60,88,167,7.39,1.47,4.778367,0.140091
11,19,101,134,7.28,1.06,4.767884,0.101018
12,44,90,154,7.27,1.37,4.766931,0.130561
13,85,79,143,6.81,1.22,4.723093,0.116266
14,27,93,144,7.26,1.12,4.765978,0.106736
15,57,93,156,6.86,1.18,4.727858,0.112454
16,48,82,248,8.17,3.22,4.852701,0.306866
17,31,83,139,6.65,1.47,4.707845,0.140091
18,22,68,141,6.07,1.93,4.652571,0.183929
19,12,91,132,6.32,1.17,4.676396,0.111501
20,113,72,179,6.72,1.80,4.714516,0.17154
21,73,86,275,7.47,2.01,4.785991,0.191553
22,7,94,205,8.78,2.45,4.910834,0.233485
23,,,,,,,
24,29,66,206,8.07,2.91,4.843171,0.277323
25,56,57,247,8.89,2.77,4.921317,0.263981
26,12,108,217,10.90,2.25,5.11287,0.214425
27,21,117,242,11.34,2.19,5.154802,0.208707
28,48,83,315,11.65,2.75,5.184345,0.262075
29,20,141,262,12.65,1.87,5.279645,0.178211
30,13,116,249,11.45,2.10,5.165285,0.20013
31,25,78,202,9.43,2.35,4.972779,0.223955
32,31,65,204,9.04,2.48,4.935612,0.236344
33,26,105,207,9.72,1.66,5.000416,0.158198
34,12,116,170,9.15,1.11,4.946095,0.105783
35,14,96,167,9.21,1.73,4.951813,0.164869
36,29,94,248,9.17,2.14,4.948001,0.203942
37,9,115,188,10.74,1.41,5.097622,0.134373
38,17,102,204,9.48,1.75,4.977544,0.166775
39,10,103,167,8.77,1.68,4.909881,0.160104
40,21,101,184,9.36,1.55,4.966108,0.147715
41,14,137,173,10.28,0.77,5.053784,0.073381
42,9,101,142,8.07,1.05,4.843171,0.100065
