Gen,N,Low,High,F_mean,F_sd,Ln_mean,Ln_sd
0,441,35,314,0,3.91,4.7131,0.4016
1,92,44,237,-0.35,3.45,4.6797,0.6149
2,39,111,197,3.33,1.45,5.0308,1.7904
3,50,92,184,2.29,1.53,4.9316,1.7008
4,45,76,245,3.71,2.06,5.0670,1.5035
5,78,118,472,6.99,3.01,5.3799,1.1850
6,18,104,229,3.23,1.79,5.0212,1.6156
7,21,97,187,4,1.59,5.0947,1.7524
8,43,85,239,3.04,2.14,5.0031,1.4316
9,51,128,348,6.46,2.32,5.3294,1.5047
10,69,107,316,5.44,2.40,5.2321,1.4160
11,22,122,212,4.54,1.37,5.1462,1.8881
12,40,129,384,6.43,2.22,5.3265,1.5533
13,87,99,220,3.89,1.73,5.0842,1.6771
14,19,117,208,4.16,1.51,5.1100,1.8000
15,61,101,206,3.15,1.63,5.0136,1.6918
16,68,95,278,4.21,2.63,5.1147,1.2424
17,34,104,238,3.86,2.17,5.0813,1.4557
18,21,87,323,4.24,3.17,5.1176,0.9738
19,18,97,199,2.51,1.80,4.9526,1.5763
20,90,94,215,3.05,2.05,5.0041,1.4770
21,40,112,238,4.93,1.75,5.1834,1.7167
22,4,129,192,3.45,1.50,5.0422,1.7711
23,,,,,,4.7131,
24,15,97,264,3.82,2.96,5.0775,1.0588
25,38,108,244,4.95,2.04,5.1853,1.5727
26,2,128,247,5.44,,5.2321,
27,7,146,251,7.09,1.73,5.3895,1.8297
28,17,152,287,6.77,1.82,5.3590,1.7695
29,17,137,329,7.71,2.13,5.4486,1.6593
30,9,163,284,6.73,1.55,5.3551,1.9026
31,17,122,248,5.6,1.97,5.2473,1.6387
32,7,133,182,4.38,1.05,5.1310,2.0405
33,27,130,297,5.69,2.23,5.2559,1.5130
34,12,109,320,5.7,3.11,5.2569,1.0734
35,8,155,298,7.2,2.17,5.4000,1.6150
36,31,138,265,6.27,1.73,5.3113,1.7906
37,5,178,256,6.75,1.17,5.3571,2.0935
38,10,115,230,5.15,2.23,5.2044,1.4872
39,23,124,246,4.73,1.79,5.1643,1.6872
40,35,134,221,5.44,1.46,5.2321,1.8860
41,28,150,241,6.09,1.46,5.2941,1.9170
42,17,119,380,5.19,2.53,5.2082,1.3391
