Gen.,N,Fpos,Fps2,Fneg,Fns2,Mpos,Mps2,Mneg,Mns2
0,300,8.7,7.5,8.7,7.5,8.64,9.15,8.64,9.15
1,300,7.78,7.56,6.77,5.71,10,8.83,7.87,12.78
2,300,9.13,6.36,6.91,6.24,10.88,9.44,8.85,10.8
3,300,8.63,7.59,5.42,4.02,10.86,10.85,6.83,10.57
4,300,10.28,7.97,5.52,3.65,10.24,6.87,6.1,9.85
5,300,10.84,5.8,5.06,5.19,11.79,9.92,5.8,10.42
6,300,10.45,5.96,5.76,5.67,11.83,6.26,6.78,10.56
7,300,11.17,10.32,4.97,4.72,12.7,9.89,5.74,8.19
8,300,10.67,5.76,5,4.62,11.82,8.6,4.72,7.35
9,300,12.33,4.04,5.43,4.98,13.44,3.43,5.28,9.07
10,300,11.38,5.29,4.41,5.04,13.74,2.86,5.89,12.66
11,300,13.14,4.57,4.83,4.06,13.84,3.06,4.69,9.14
12,300,13.23,3.77,3.2,3.65,13.96,3.31,4.54,7.27
13,300,13.23,4.52,3.72,5.01,14.28,2.97,5.42,11.65
14,300,12.4,4.38,3.34,7.55,14.14,2.54,4.68,10.33
15,300,13.43,3.26,2.37,2.2,14.49,2.08,3.13,4.46
16,300,14.37,2.28,2.76,2.78,14.71,1.92,3.84,6.28
17,300,14.16,2.47,2.85,2.92,14.03,2.68,3.59,6.93
