Year,Gen.,N,Strain-3,Var-3,Strain-4,Var-4,Control
1950,0,384,66.9,631,,,70
1951,1,384,72.8,631,63.7,689,65.5
1952,2,384,70.1,631,62.6,689,65.1
1953,3,384,79.5,631,75.2,689,69.8
1954,4,384,82.3,637,77.8,653,72.7
1955,5,384,86.8,803,84.7,698,78.4
1956,6,384,82.5,795,83,579,73.6
1957,7,384,84.9,710,81.2,649,69.5
1958,8,384,90.4,565,88.6,582,74.1
1959,9,384,90,677,89,619,71.3
1960,10,384,93.6,739,93,592,75.2
1961,11,384,86.8,906,92.1,660,72.4
1962,12,384,90.8,908,95.9,643,74.9
1963,13,384,92.2,738,99.6,497,79.5
1964,14,384,91,730,99.4,341,71.9
1965,15,384,88.1,721,97.4,362,69.4
1966,16,384,95,417,100.7,300,76
1967,17,384,94,393,100.7,413,72.8
1968,18,384,94.3,568,100.7,404,71
1969,19,384,60.9,1463,74,1187,48.3
1970,20,384,73.9,2135,103,733,62.8
1971,21,384,102.6,529,108.4,359,76.1
1972,22,384,100.4,846,106.9,566,73.4
1973,23,384,106.5,410,111.5,288,78.5
1974,24,384,106.4,483,110.2,373,79.4
1975,25,384,104.3,626,110,344,76.7
1976,26,384,105.1,670,112.3,365,80.3
1977,27,384,102.4,986,110,634,78.7
1978,28,384,104.6,1052,110.2,494,75.8
1979,29,384,110.4,590,116.5,357,82.5
1980,30,384,115,418,119.8,292,81.6
