Gen.,Csig,CA,CB,CC,CD,CE,CF,Ssig,SA,SB,SC,SD,SE,SF,Lsig,LA,LB,LC,LD,LE,LF
0,3.278,22.03,23.44,21.71,21.81,22.29,22.17,3.278,22.03,23.44,21.71,21.81,22.29,22.17,3.278,22.03,23.44,21.71,21.81,22.29,22.17
1,,24.43,24.25,21.34,22.54,23.11,23.12,,23.35,21.72,22.72,21.59,23.22,23.01,,25.29,23.39,22.67,22.75,24.10,23.27
2,,23.63,24.41,20.38,22.12,21.80,23.39,,22.91,21.58,20.69,20.50,22.20,20.80,,23.83,24.72,23.48,24.33,25.41,23.88
3,,21.71,24.32,21.16,23.91,22.22,23.46,,21.53,19.85,21.31,20.32,20.59,20.85,,26.49,25.05,23.75,24.09,24.32,25.24
4,,23.68,25.26,22.46,22.38,23.33,23.39,,21.97,19.63,21.76,21.86,21.13,19.76,,27.27,26.08,24.90,25.29,25.11,28.32
5,,23.85,24.76,21.16,24.01,22.86,22.05,,21.12,20.19,21.20,20.89,20.79,19.04,,29.09,26.61,23.65,26.22,28.46,27.89
6,,23.72,24.23,21.05,21.99,22.10,22.88,,19.38,19.11,20.89,19.69,18.98,19.27,,27.31,29.51,25.43,28.34,28.25,30.18
7,,24.11,24.26,21.46,24.14,24.69,22.99,,18.61,19.25,21.54,20.36,18.64,20.12,,30.05,29.94,26.26,28.07,30.34,30.90
8,,23.30,24.18,20.69,23.04,22.69,22.51,,19.13,20.06,20.01,19.86,18.17,17.84,,31.78,31.45,26.29,28.10,30.48,28.94
9,,21.48,22.43,20.73,23.58,22.76,21.19,,17.80,17.84,19.45,18.07,17.95,16.07,,28.87,29.06,25.90,28.43,29.30,30.57
10,,22.29,23.86,19.16,22.47,21.58,21.56,,16.08,17.78,18.60,17.13,17.05,16.80,,28.37,31.09,26.17,30.49,28.69,31.77
11,,20.69,22.24,20.48,21.15,20.53,20.18,,15.02,16.07,19.19,15.69,16.60,14.88,,27.14,29.40,23.67,30.56,27.73,31.30
12,,23.11,25.30,22.20,21.94,21.32,19.80,,15.66,18.89,18.03,16.11,17.35,14.81,,32.84,32.40,28.24,30.66,31.56,33.98
13,,22.82,26.24,21.34,22.23,22.25,19.82,,16.53,17.50,17.13,15.23,16.20,16.06,,31.15,31.79,29.35,29.42,32.75,31.08
14,,22.51,25.47,20.80,23.61,22.61,20.61,,15.81,17.65,16.25,14.74,16.24,13.76,,31.70,34.50,29.53,31.67,31.38,31.91
15,,22.78,25.14,21.92,23.45,21.82,21.47,,14.42,17.43,16.35,14.79,14.87,13.13,,33.07,32.14,28.90,31.11,30.06,29.24
16,,21.81,24.78,22.40,22.26,22.52,20.42,,15.74,17.29,15.51,15.19,14.51,13.95,,31.65,30.98,30.91,30.79,31.33,32.22
17,,21.16,24.14,23.02,21.06,21.93,19.57,,14.95,15.86,15.90,14.56,13.88,15.37,,32.91,30.64,31.04,32.54,32.93,28.01
18,,21.93,22.76,22.06,21.85,24.83,20.35,,15.90,16.46,16.21,16.47,14.79,13.76,,33.46,31.51,30.49,32.72,32.44,32.10
19,,22.49,24.46,22.83,23.09,23.39,18.30,,15.18,15.53,17.24,15.37,14.38,13.58,,31.00,32.10,30.54,31.91,33.13,32.58
20,,23.86,25.33,23.62,23.01,24.56,20.78,,14.00,16.25,16.85,15.73,13.58,15.18,,33.62,35.27,33.04,32.71,32.88,33.71
21,,22.03,26.56,22.30,22.27,23.43,20.84,,14.78,13.79,15.61,15.63,14.40,13.63,,35.73,33.68,32.25,33.09,33.11,32.32
22,,21.66,23.93,22.37,21.71,24.21,20.65,,13.83,16.12,14.68,14.21,14.30,13.27,,32.97,34.52,33.57,34.09,32.85,31.80
23,,21.83,27.06,21.56,23.24,24.76,21.33,,14.17,15.03,13.71,14.40,13.09,12.85,,33.63,34.78,30.89,31.45,32.74,32.08
