Year,lnW,lnH
1983,1.44254,-0.97397
1983,1.49698,-0.387962
1983,1.51717,-0.644789
1983,1.58924,-0.645523
1983,1.62764,-0.615364
1983,1.64847,-1.09216
1983,1.69329,-0.832938
1983,1.7714,0.00944946
1983,1.77193,-0.366322
1983,1.79049,-0.730057
1983,1.83752,-0.681656
1983,1.87259,-0.935579
1983,1.89773,-0.83502
1983,1.89232,-0.721929
1983,1.92906,-0.832284
1983,1.95108,-0.701143
1983,1.89477,-0.569204
1983,1.87062,-0.367327
1983,1.92107,0.105686
1983,1.96708,-0.200284
1983,1.99768,-0.13033
1983,2.00525,-0.521449
1983,2.03655,-0.567593
1983,2.07092,-0.708473
1983,2.06639,-0.451806
1983,2.13291,-0.541079
1983,2.17519,-0.559839
1983,2.08695,-0.167899
1983,2.03639,0.361132
1983,2.09569,0.0275321
1983,2.12224,-0.0979936
1983,2.15503,-0.263298
1983,2.23266,-0.135778
1983,2.19528,0.188434
1983,2.19537,0.332018
1983,2.24233,0.273495
1983,2.28921,0.101937
1983,2.36965,-0.265484
1983,2.36834,0.122516
1983,2.34902,0.519864
1893,1.62557,-0.187641
1893,1.6632,-0.148309
1893,1.69066,-0.0844336
1893,1.79163,-0.183222
1893,1.73142,-0.0329136
1893,1.68535,0.184461
1893,1.71282,0.257502
1893,1.73861,0.174754
1893,1.74187,0.367186
1893,1.82246,0.231945
1893,1.88662,0.127422
1893,1.8922,0.26484
1893,1.84069,0.543371
1893,1.92758,0.463056
1893,1.96197,0.352725
1893,1.96362,0.481019
1893,1.99809,0.489833
1893,1.99957,0.361507
1893,2.04883,0.226585
1893,2.07884,0.595936
1893,2.11717,0.51917
1893,2.15009,0.54633
1893,2.10788,0.67507
1893,2.08838,0.803579
1893,2.17925,0.824039
1893,2.18487,1.02256
1893,2.20594,0.906253
1893,2.22844,0.588302
1893,2.26834,0.517631
1893,2.24422,0.747002
1893,2.25058,0.896633
1893,2.27263,1.06749
1893,2.29055,0.920666
1893,2.29359,0.780105
1893,1.96091,-0.0596906
