Meas,Year,N,Mean,SD,Year,N,Mean,SD,Year,N,Mean,SD
Ant. pl.,1960,30,24.10,0.52,1987,30,24.30,0.47,1991,30,24.00,0.66
Keel pl.,1960,30,9.06,0.69,1987,30,8.85,0.52,1991,30,8.72,0.96
Hl,1960,30,3.86,0.23,1987,30,4.29,0.24,1991,30,4.14,0.19
H2,1960,30,4.23,0.43,1987,30,4.39,0.33,1991,30,4.19,0.35
H3,1960,30,3.63,0.26,1987,30,3.65,0.27,1991,30,3.54,0.24
H4,1960,30,1.89,0.20,1987,30,2.02,0.12,1991,30,1.89,0.14
H5,1960,30,14.22,0.95,1987,30,15.30,0.95,1991,30,14.74,0.79
Sl,1960,30,4.72,0.63,1987,30,4.65,0.39,1991,30,4.38,0.38
S2,1960,30,5.17,0.54,1987,30,5.17,0.41,1991,30,4.88,0.39
S3,1960,30,7.39,0.66,1987,30,7.36,0.62,1991,30,6.97,0.45
S4,1960,30,9.80,0.52,1987,30,10.09,0.44,1991,30,10.33,0.35
S5,1960,30,12.68,0.89,1987,30,12.64,0.60,1991,30,12.44,0.68
S6,1960,30,7.19,0.62,1987,30,7.59,0.55,1991,30,7.85,0.55
S7,1960,30,6.55,0.69,1987,30,6.31,0.58,1991,30,6.35,0.79
Bl0,1960,30,50.10,6.19,1987,30,50.90,5.75,1991,30,50.30,5.11
B2,1960,30,11.61,0.57,1987,30,12.79,0.42,1991,30,12.83,0.45
B3,1960,30,5.80,0.33,1987,30,5.67,0.33,1991,30,5.90,0.39
B4,1960,30,7.87,0.76,1987,30,7.93,0.50,1991,30,8.28,0.74
B5,1960,30,11.53,0.66,1987,30,11.61,0.59,1991,30,12.23,0.71
B6,1960,30,4.27,1.18,1987,30,3.97,0.90,1991,30,5.03,1.08
B7,1960,30,16.10,0.67,1987,30,15.41,0.53,1991,30,15.34,0.47
B8,1960,30,11.69,0.83,1987,30,10.74,0.66,1991,30,10.53,0.77
B9,1960,30,2.90,0.22,1987,30,3.10,0.18,1991,30,3.18,0.25
B10,1960,30,6.66,0.49,1987,30,7.08,0.42,1991,30,7.01,0.47
