Year,LnNhf,LnMhf,LnShf,LnNhm,LnMhm,LnShm,LnNtf,LnMtf,LnStf,LnNtm,LnMtm,LnStm
1984,679,4.4106,0.028,679,4.4659,0.029,679,4.398,0.033,679,4.469,0.036
1985,679,4.4146,0.028,679,4.4641,0.029,679,4.4026,0.033,679,4.4664,0.036
1986,679,4.4092,0.028,679,4.4601,0.029,679,4.3916,0.033,679,4.4615,0.036
1987,679,4.409,0.028,679,4.459,0.029,679,4.3917,0.033,679,4.4614,0.036
1988,679,4.4066,0.028,679,4.4557,0.029,679,4.3918,0.033,679,4.4587,0.036
1989,679,4.4042,0.028,679,4.4524,0.029,679,4.3917,0.033,679,4.4562,0.036
1990,679,4.4022,0.028,679,4.4502,0.029,679,4.3929,0.033,679,4.4563,0.036
1991,679,4.3992,0.028,679,4.4475,0.029,679,4.3892,0.033,679,4.4543,0.036
1992,679,4.3989,0.028,679,4.4468,0.029,679,4.3876,0.033,679,4.4534,0.036
1993,679,4.3939,0.028,679,4.4457,0.029,679,4.3848,0.033,679,4.4538,0.036
1994,679,4.3932,0.028,679,4.4452,0.029,679,4.3834,0.033,679,4.4526,0.036
1995,679,4.3933,0.028,679,4.4447,0.029,679,4.3824,0.033,679,4.451,0.036
1996,679,4.3926,0.028,679,4.4452,0.029,679,4.3809,0.033,679,4.4519,0.036
