Location,Abbr.,Lat.,Colon_yr,Coll_year,N,L1F mean,L1F SE,L2F mean,L2F SE,WF mean,WF SE,L1M mean,L1M SE,L2M mean,L2M SE,WM mean,WM SE
"Davis, CA",DA,38.6,1982,1997,20,1.36,0.009,1.11,0.008,1.1,0.006,1.22,0.011,1.03,0.005,1.01,0.006
"Eureka, CA",EU,40.8,1982,1997,17,1.34,0.012,1.12,0.007,1.09,0.008,1.22,0.007,1.05,0.007,1.02,0.006
"Medford, OR",ME,42.3,1982,1997,16,1.33,0.011,1.12,0.009,1.11,0.009,1.23,0.011,1.02,0.007,1.03,0.008
"Salem, OR",SA,44.9,1982,1997,12,1.37,0.015,1.12,0.014,1.11,0.01,1.23,0.01,1.02,0.012,1.02,0.007
"Centralia, WA",CE,46.7,1982,1997,16,1.35,0.011,1.15,0.01,1.12,0.009,1.21,0.008,1.06,0.008,1.03,0.008
"Bellingham, WA",BE,48.7,1982,1997,16,1.38,0.006,1.15,0.007,1.12,0.006,1.21,0.012,1.02,0.011,1.02,0.008
"Davis, CA",DA,38.6,1982,1988,100,1.2,0.005,1.03,0.004,0.97,0.003,1.08,0.005,0.95,0.003,0.9,0.003
"Eureka, CA",EU,40.5,1982,1988,100,1.2,0.004,1.02,0.003,0.97,0.003,1.08,0.004,0.95,0.003,0.89,0.003
"Medford, OR",ME,42.3,1982,1986,100,1.3,0.005,1.09,0.004,1.04,0.003,1.15,0.004,0.99,0.003,0.95,0.003
"Woodburn, OR",SA,45.2,1982,1986,100,1.2,0.007,1.03,0.005,1,0.004,1.08,0.006,0.96,0.005,0.92,0.004
"Centralia, WA",CE,46.7,1982,1986,100,1.21,0.008,1.03,0.004,0.99,0.005,1.09,0.007,0.95,0.004,0.91,0.004
"Arlington, WA",BE,48.2,1982,1986,100,1.17,0.007,1.01,0.004,0.97,0.004,1.04,0.006,0.94,0.004,0.89,0.005
