Location,Abbr.,Lat.,Colon_yr,Coll_year,N,L1F mean,L1F SE,L2F mean,L2F SE,WF mean,WF SE,L1M mean,L1M SE,L2M mean,L2M SE,WM mean,WM SE
Santiago,SG,33.5,1978,1999,20,0.256,0.008,0.163,0.009,0.126,0.017,0.162,0.007,0.056,0.010,0.025,0.017
Laja,LJ,37.2,1978,1999,20,0.263,0.004,0.189,0.004,0.159,0.009,0.189,0.005,0.126,0.004,0.091,0.009
Valdivia,VD,39.8,1978,1999,20,0.257,0.006,0.166,0.007,0.137,0.013,0.154,0.007,0.044,0.007,0.016,0.013
Puerto Montt,PM,41.5,1978,1999,20,0.270,0.006,0.183,0.006,0.154,0.012,0.164,0.005,0.076,0.008,0.045,0.014
Coyhaique,CQ,45.6,1978,1999,20,0.295,0.006,0.212,0.007,0.177,0.012,0.218,0.006,0.150,0.006,0.112,0.011
Santiago,SG,33.5,1978,1986,100,1.18,0.006,1.01,0.004,0.98,0.004,1.08,0.005,0.94,0.004,0.91,0.004
Laja,LJ,37.2,1978,1986,100,1.24,0.006,1.06,0.005,1.01,0.005,1.12,0.005,0.98,0.004,0.93,0.003
Valdivia,VD,39.8,1978,1986,100,1.18,0.006,1.03,0.005,0.99,0.004,1.06,0.005,0.95,0.005,0.9,0.004
Puerto Montt,PM,41.5,1978,1986,100,1.2,0.007,1.03,0.006,0.99,0.006,1.08,0.005,0.94,0.005,0.9,0.003
Coyhaique,CQ,45.6,1978,1986,100,1.2,0.005,1,0.004,0.99,0.004,1.07,0.005,0.92,0.004,0.9,0.003
