Year,P_tars_m,P_tars_s,R_tars_m,R_tars_s,M_tars_m,M_tars_s,P_wgt_m,P_wgt_s,R_wgt_m,R_wgt_s,M_wgt_m,M_wgt_s
1989,,,,,,,2.245298083,0.096584063,,,,
1990,2.754087373,0.034960861,,,,,2.260443478,0.096584063,,,,
1991,2.767456827,0.034960861,2.821950152,0.034532524,,,2.38891874,0.096584063,2.390522708,0.11326139,,
1992,2.777787684,0.034960861,2.818708658,0.034532524,,,2.291828447,0.096584063,2.322260261,0.11326139,,
1993,2.770737009,0.034960861,2.809800207,0.034532524,,,2.2811786,0.096584063,2.27491272,0.11326139,,
1994,2.752220185,0.034960861,2.802208202,0.034532524,2.780643694,0.028609357,2.243446367,0.096584063,2.318832388,0.11326139,2.338396154,0.06583239
1995,2.774661572,0.034960861,2.808160961,0.034532524,2.781814781,0.028609357,2.267704787,0.096584063,2.367051737,0.11326139,2.326955703,0.06583239
1996,2.772963652,0.034960861,2.808661457,0.034532524,2.795584775,0.028609357,2.212392297,0.096584063,2.393321191,0.11326139,2.323974696,0.06583239
1997,2.752621956,0.034960861,2.808534849,0.034532524,2.795199902,0.028609357,2.161414309,0.096584063,2.400872654,0.11326139,2.340920799,0.06583239
1998,2.757811322,0.034960861,2.822075073,0.034532524,2.800428815,0.028609357,2.205198258,0.096584063,2.376430173,0.11326139,2.326106288,0.06583239
1999,2.765482281,0.034960861,2.801825871,0.034532524,2.794178966,0.028609357,2.2499119,0.096584063,2.355936268,0.11326139,2.32950936,0.06583239
2000,2.765217874,0.034960861,2.804238783,0.034532524,2.774792542,0.028609357,2.260443478,0.096584063,2.361306729,0.11326139,2.304553155,0.06583239
2001,2.774399582,0.034960861,2.792642543,0.034532524,2.803984429,0.028609357,2.241127687,0.096584063,2.312792816,0.11326139,2.334597194,0.06583239
2002,2.777395899,0.034960861,2.811057951,0.034532524,2.794564232,0.028609357,2.271766027,0.096584063,2.382495484,0.11326139,2.32993758,0.06583239
