Year,Mn,Mmean,Msd,Fn,Fmean,Fsd
1984,86,98.74,8.189457635,88,88.92,6.554704802
1985,86,97.72,8.104431988,88,89.9,6.62701991
1986,86,99.6,8.260492034,88,89.32,6.584640751
1987,86,103.37,8.572728236,88,89.36,6.587537778
1988,86,107.99,8.9563057,88,88.79,6.54516599
1989,86,106.56,8.837293016,88,89.48,6.596354176
1990,86,105.12,8.718363269,88,87.76,6.469474702
1991,86,107.09,8.881165985,88,90.01,6.635342414
1992,86,106.35,8.819959462,88,89.72,6.614097547
1993,86,104.3,8.650024278,88,88.33,6.511367338
1994,86,105.57,8.755186705,88,90.17,6.647055839
1995,86,104.95,8.704098334,88,86.53,6.378332602
1996,86,107.77,8.938225724,88,92.34,6.806768289
1997,86,107.73,8.934742426,88,89.31,6.583313868
1998,86,108.71,9.016102316,88,89.76,6.616390105
1999,86,111.49,9.246829344,88,89.71,6.613257188
2000,86,108.87,9.029372023,88,90.28,6.655385714
2001,86,108.13,8.968082564,88,90.49,6.670357374
2002,86,108.91,9.032523578,88,90.94,6.703433612
