year,sbl.mm,sbw.mm,sblew
1928,4.88,2.44,2.00
1928,4.96,2.48,2.00
1928,5.15,2.48,2.08
1928,5.18,2.60,1.99
1930,5.09,2.62,1.94
1930,5.19,2.68,1.94
1930,5.25,2.68,1.96
1930,5.29,2.67,1.98
1930,5.15,2.65,1.94
1930,4.80,2.44,1.97
1932,5.12,2.43,2.11
1950,4.91,2.44,2.01
1950,4.95,2.53,1.96
1950,5.07,2.59,1.96
1950,5.14,2.57,2.00
1950,5.35,2.64,2.03
1950,4.91,,
1952,5.01,2.51,2.00
1952,5.06,2.57,1.97
1952,5.15,2.55,2.02
1952,5.37,2.74,1.96
1952,5.43,,
1953,5.27,,
1962,4.83,2.48,1.95
1962,5.37,2.65,2.03
1963,5.44,2.64,2.06
1967,5.14,2.54,2.02
1967,5.33,2.65,2.01
1968,5.54,2.81,1.97
1971,5.10,2.64,1.93
1972,4.78,2.45,1.95
1972,4.82,2.45,1.97
1972,4.90,2.50,1.96
1972,4.93,2.52,1.96
1972,4.95,2.50,1.98
1972,4.97,2.51,1.98
1972,5.04,2.51,2.01
1972,5.18,2.64,1.96
1973,5.36,2.60,2.06
1976,5.35,2.50,2.14
1976,5.45,2.57,2.12
1979,5.20,2.51,2.07
1980,5.05,2.39,2.11
1980,5.07,2.45,2.07
1980,5.11,2.52,2.03
1980,5.30,2.57,2.06
1980,5.51,2.57,2.14
1980,5.01,,
1981,5.10,2.42,2.11
1981,5.12,2.39,2.14
1981,5.15,2.59,1.99
1981,5.24,2.54,2.06
1981,5.26,2.57,2.05
1982,5.32,2.57,2.07
1982,5.45,2.71,2.01
1982,5.46,2.68,2.04
1982,5.47,2.63,2.08
1982,5.48,2.66,2.06
1982,5.49,2.65,2.07
1982,5.56,2.67,2.08
1982,5.60,2.69,2.08
1982,5.61,2.71,2.07
1982,5.64,2.75,2.05
1982,5.67,2.71,2.09
1982,5.71,2.76,2.07
1982,5.72,2.70,2.12
1982,5.82,2.78,2.09
1982,5.46,,
1982,5.50,,
1986,5.32,2.50,2.13
1986,5.61,,
1986,5.64,,
1987,5.35,2.60,2.06
1987,5.39,2.55,2.11
1987,5.46,2.69,2.03
1987,5.52,2.67,2.07
1987,5.56,2.62,2.12
1988,5.38,2.54,2.12
1988,5.50,2.57,2.14
