Year,Species,N,B.len,B.dep,B.wid,B.l.2se,B.d.2se,B.w.2se
1973,fortis,221,10.76,9.48,8.69,0.097,0.130,0.081
1974,fortis,108,10.72,9.42,8.66,0.144,0.170,0.112
1975,fortis,332,10.57,9.19,8.55,0.075,0.084,0.057
1976,fortis,933,10.64,9.23,8.58,0.048,0.053,0.039
1977,fortis,367,10.73,9.35,8.63,0.085,0.092,0.066
1978,fortis,290,11.04,9.74,8.86,0.094,0.098,0.075
1979,fortis,288,11.07,9.78,8.73,0.093,0.098,0.075
1980,fortis,270,11.11,9.81,8.90,0.095,0.099,0.076
1981,fortis,338,11.04,9.75,8.89,0.082,0.086,0.068
1982,fortis,293,11.06,9.80,8.91,0.085,0.090,0.070
1983,fortis,507,11.03,9.71,8.92,0.064,0.068,0.052
1984,fortis,749,10.93,9.66,8.93,0.054,0.062,0.048
1985,fortis,500,10.91,9.62,8.91,0.065,0.076,0.061
1986,fortis,274,10.91,9.48,8.75,0.095,0.104,0.078
1987,fortis,792,10.93,9.31,8.69,0.056,0.056,0.043
1988,fortis,792,10.93,9.31,8.69,0.056,0.056,0.043
1989,fortis,557,10.91,9.28,8.67,0.068,0.068,0.053
1990,fortis,413,10.89,9.26,8.65,0.078,0.079,0.061
1991,fortis,514,10.83,9.21,8.66,0.070,0.070,0.056
1992,fortis,561,10.82,9.19,8.66,0.067,0.066,0.051
1993,fortis,465,10.82,9.18,8.67,0.073,0.071,0.056
1994,fortis,401,10.84,9.20,8.67,0.079,0.076,0.061
1995,fortis,173,10.74,9.10,8.59,0.126,0.120,0.095
1996,fortis,98,10.81,9.15,8.64,0.172,0.160,0.133
1997,fortis,48,10.77,9.12,8.65,0.213,0.213,0.172
1998,fortis,102,10.84,9.11,8.67,0.166,0.166,0.133
1999,fortis,94,10.89,9.14,8.71,0.171,0.173,0.134
2000,fortis,71,10.92,9.18,8.73,0.202,0.205,0.157
2001,fortis,223,10.75,9.02,8.59,0.115,0.109,0.083
2002,fortis,212,10.78,9.07,8.60,0.122,0.118,0.089
2003,fortis,172,10.85,9.12,8.63,0.139,0.136,0.104
2004,fortis,76,10.94,9.19,8.69,0.223,0.221,0.170
2005,fortis,142,10.34,8.68,8.33,0.136,0.123,0.097
2006,fortis,143,10.31,8.63,8.31,0.130,0.115,0.093
2007,fortis,158,10.32,8.62,8.29,0.114,0.106,0.086
2008,fortis,210,10.28,8.57,8.29,0.099,0.094,0.076
2009,fortis,236,10.28,8.51,8.27,0.095,0.087,0.070
2010,fortis,235,10.42,8.52,8.33,0.097,0.086,0.071
2011,fortis,232,10.46,8.57,8.34,0.103,0.096,0.076
2012,fortis,117,10.51,8.65,8.38,0.150,0.146,0.117
