Species,Year,GLS,TWCLS,Latitude,Longitude
angoniensis,1906,39.58,3,-25.40000,28.10000
angoniensis,1907,35.66,3,-23.80000,30.16667
angoniensis,1907,38.19,4,-23.80000,30.16667
angoniensis,1915,31.23,3,-25.43333,31.68333
angoniensis,1915,36.69,3,-25.43333,31.68333
angoniensis,1915,36.76,3,-26.05000,30.83333
angoniensis,1915,41.15,4,-25.61667,28.20000
angoniensis,1916,31.64,3,-25.23333,27.75000
angoniensis,1916,32.04,3,-23.48330,29.45000
angoniensis,1916,36.33,3,-24.91667,28.35000
angoniensis,1923,33.87,3,-25.95000,28.20000
angoniensis,1923,34.52,3,-25.80000,27.98333
angoniensis,1923,34.66,3,-25.80000,27.98333
angoniensis,1923,36.26,3,-23.00000,29.66667
angoniensis,1923,37.11,3,-23.00000,29.66667
angoniensis,1925,35.85,3,-24.58333,30.83333
angoniensis,1925,41.93,4,-24.58333,30.83333
angoniensis,1932,32.14,3,-25.75000,28.23333
angoniensis,1932,32.22,3,-25.75000,28.23333
angoniensis,1932,32.42,3,-25.75000,28.23333
angoniensis,1935,39.55,3,-23.05000,29.90000
angoniensis,1935,40.98,4,-23.05000,29.90000
angoniensis,1940,36.68,3,-25.78333,28.25000
angoniensis,1948,32.70,3,-25.80000,28.18333
angoniensis,1948,35.24,3,-25.20000,28.30000
angoniensis,1948,36.65,3,-25.80000,28.18333
angoniensis,1948,38.77,4,-25.80000,28.18333
angoniensis,1949,31.34,3,-25.86667,26.90000
angoniensis,1949,37.45,4,-25.86667,26.90000
angoniensis,1950,33.87,4,-25.63333,27.13333
angoniensis,1950,33.87,3,-25.63333,26.40000
angoniensis,1950,34.54,3,-25.75000,27.85000
angoniensis,1953,33.02,3,-26.01667,27.73333
angoniensis,1954,35.33,4,-26.05000,28.03333
angoniensis,1954,36.60,3,-24.63333,28.86667
angoniensis,1955,31.37,3,-26.03333,27.78333
angoniensis,1955,32.79,3,-26.03333,27.78333
angoniensis,1955,34.05,3,-25.58333,26.41667
angoniensis,1955,34.22,3,-26.01667,27.70000
angoniensis,1955,36.08,4,-26.01667,27.70000
angoniensis,1955,36.49,3,-25.77790,28.29610
angoniensis,1955,36.65,4,-25.76667,27.98333
angoniensis,1955,36.73,3,-25.28333,28.51667
angoniensis,1955,37.44,4,-25.76667,27.98333
angoniensis,1955,37.71,3,-26.08333,27.98333
angoniensis,1955,39.75,4,-25.48330,28.26670
angoniensis,1955,39.94,5,-25.96667,27.78333
angoniensis,1957,37.05,3,-25.91667,27.75000
angoniensis,1957,37.31,4,-24.15000,28.06667
angoniensis,1958,40.03,4,-25.45000,31.96667
angoniensis,1967,37.78,3,-24.75000,31.41667
angoniensis,1970,32.52,3,-24.05000,29.11667
angoniensis,1970,34.14,3,-25.75000,28.31667
angoniensis,1970,34.43,3,-25.73333,28.18333
angoniensis,1970,34.85,3,-24.05000,29.11667
angoniensis,1970,35.39,3,-25.73333,28.18333
angoniensis,1970,35.98,3,-24.05000,29.11667
angoniensis,1970,37.68,5,-25.63333,27.13333
angoniensis,1971,34.73,3,-25.88333,28.28333
angoniensis,1971,36.34,3,-26.10000,27.98333
angoniensis,1971,36.65,4,-25.88333,28.28333
angoniensis,1971,37.65,3,-25.88333,28.28333
angoniensis,1971,37.99,4,-25.88333,28.28333
angoniensis,1972,38.04,3,-25.40000,28.10000
angoniensis,1973,31.45,3,-25.60000,31.11667
angoniensis,1973,31.77,3,-25.81667,27.26667
angoniensis,1973,33.13,3,-25.63333,26.40000
angoniensis,1973,33.79,3,-25.60000,31.11667
angoniensis,1973,33.88,3,-24.58333,27.66667
angoniensis,1973,34.00,3,-25.81667,27.26667
angoniensis,1973,35.07,3,-24.60000,28.76667
angoniensis,1973,36.71,4,-23.75000,27.83333
angoniensis,1974,30.86,3,-24.21667,27.86667
angoniensis,1974,32.22,3,-23.83333,28.38333
angoniensis,1974,34.43,4,-24.35000,29.13333
angoniensis,1974,35.23,3,-23.70000,29.55000
angoniensis,1974,35.72,3,-23.83333,28.38333
angoniensis,1974,35.74,3,-24.21667,27.86667
angoniensis,1974,36.29,3,-24.21667,27.86667
angoniensis,1974,37.53,3,-23.70000,29.55000
angoniensis,1974,39.92,3,-23.83333,28.38333
