Species,Year,GLS,TWCLS,Latitude,Longitude
auratus,1907,30.62,3,-23.80000,30.16667
auratus,1907,40.39,4,-25.73830,28.18920
auratus,1912,39.52,3,-27.35000,30.15000
auratus,1912,39.72,3,-25.73333,28.16667
auratus,1915,42.43,3,-25.61667,28.20000
auratus,1916,41.41,3,-26.10000,27.96667
auratus,1916,41.92,4,-26.30000,27.83333
auratus,1922,37.10,3,-25.86667,26.90000
auratus,1923,37.41,3,-23.81667,29.90000
auratus,1923,37.68,4,-22.97800,29.93333
auratus,1923,38.75,3,-22.97800,29.93333
auratus,1923,39.46,4,-22.97800,29.93333
auratus,1923,39.64,3,-26.23333,27.61667
auratus,1923,39.67,4,-22.97800,29.93333
auratus,1925,39.53,3,-27.30000,30.31667
auratus,1925,40.50,3,-27.30000,30.31667
auratus,1925,42.26,4,-27.30000,30.31667
auratus,1927,36.50,3,-25.75000,28.18333
auratus,1927,42.26,4,-26.78333,29.96667
auratus,1927,44.96,5,-25.73333,28.18333
auratus,1929,32.09,3,-25.80000,28.18333
auratus,1929,39.57,3,-25.80000,28.18333
auratus,1929,41.49,3,-25.80000,28.18333
auratus,1929,42.27,3,-25.80000,28.18333
auratus,1931,38.72,3,-26.26667,28.11667
auratus,1931,40.92,4,-26.26667,28.11667
auratus,1950,38.47,4,-25.15000,30.81667
auratus,1950,39.21,5,-25.15000,30.81667
auratus,1951,33.70,3,-25.15000,30.81667
auratus,1951,39.03,3,-25.15000,30.81667
auratus,1951,39.10,3,-26.01290,28.00540
auratus,1951,39.69,3,-25.15000,30.81667
auratus,1955,36.34,3,-25.96667,27.78333
auratus,1955,41.23,4,-26.03333,27.78333
auratus,1955,44.07,4,-26.03333,27.78333
auratus,1958,34.61,3,-26.02990,28.03970
auratus,1958,37.54,3,-27.26667,29.76667
auratus,1958,43.76,4,-26.02990,28.03970
auratus,1959,32.28,3,-24.68333,30.90000
auratus,1959,37.57,4,-24.57436,30.89528
auratus,1959,37.84,3,-24.68333,30.90000
auratus,1959,37.84,3,-26.02990,28.03970
auratus,1959,39.28,3,-26.18333,27.86667
auratus,1963,33.10,3,-25.96667,27.78333
auratus,1963,33.39,3,-26.01667,27.73333
auratus,1970,38.66,4,-25.88333,28.28333
auratus,1970,39.23,3,-25.88333,28.28333
auratus,1970,41.40,3,-25.88333,28.28333
auratus,1970,41.77,3,-25.88333,28.28333
auratus,1971,29.34,3,-25.88333,28.28333
auratus,1971,36.20,3,-25.88333,28.28333
auratus,1971,37.97,3,-25.88333,28.28333
