Specimen,Year,Site,Species,Sex,Time,Body Mass (g),Body Length (mm),Axis1,Axis2
RM189,1959,Mont St Hilaire,leucopus,F,Historical,24,89,-0.0109,0.0012
RM204,1959,Mont St Hilaire,leucopus,F,Historical,35.9,106,-0.0034,0.0013
RM222,1959,Mont St Hilaire,leucopus,F,Historical,20.4,92,-0.0020,-0.0087
RM2483,1966,Mont St Hilaire,leucopus,F,Historical,14.9,82,-0.0173,0.0057
RM2489_2,1966,Mont St Hilaire,leucopus,F,Historical,20.3,93,-0.0111,0.0081
CMN36744,1966,Mont St Hilaire,leucopus,F,Historical,NA,NA,0.0215,-0.0039
RM2481,1966,Mont St Hilaire,leucopus,F,Historical,21.1,95,0.0388,-0.0147
RM2484,1966,Mont St Hilaire,leucopus,F,Historical,20.3,100,0.0098,-0.0156
RM2487,1966,Mont St Hilaire,leucopus,F,Historical,23.3,97,0.0106,-0.0178
RM2494,1966,Mont St Hilaire,leucopus,F,Historical,23,96,0.0054,-0.0093
RM2505,1966,Mont St Hilaire,leucopus,F,Historical,15.1,93,0.0177,-0.0085
VM15,2007,Mont St Hilaire,leucopus,F,Recent,14.25,75,0.0055,-0.0102
VM36,2007,Mont St Hilaire,leucopus,F,Recent,17.75,83,-0.0056,-0.0170
VM40,2007,Mont St Hilaire,leucopus,F,Recent,23.5,90,0.0067,-0.0054
VM74,2007,Mont St Hilaire,leucopus,F,Recent,20.25,91,-0.0045,-0.0093
VM79,2007,Mont St Hilaire,leucopus,F,Recent,22.25,89,-0.0079,-0.0034
VM86,2007,Mont St Hilaire,leucopus,F,Recent,14.5,75,-0.0110,-0.0009
VM124,2008,Mont St Hilaire,leucopus,F,Recent,24.75,100,-0.0047,-0.0132
VM128,2008,Mont St Hilaire,leucopus,F,Recent,19.5,81,-0.0151,-0.0089
VM132,2008,Mont St Hilaire,leucopus,F,Recent,13.5,66,0.0019,0.0019
VM139,2008,Mont St Hilaire,leucopus,F,Recent,24,89,0.0016,-0.0138
VM230,2009,Mont St Hilaire,leucopus,F,Recent,29.5,84,-0.0082,-0.0029
VM231,2009,Mont St Hilaire,leucopus,F,Recent,22,84,0.0036,0.0008
VM317,2009,Mont St Hilaire,leucopus,F,Recent,19,67,-0.0220,0.0055
VM318,2009,Mont St Hilaire,leucopus,F,Recent,19,80,-0.0117,-0.0020
VM319,2009,Mont St Hilaire,leucopus,F,Recent,20,80,-0.0056,-0.0014
VM328,2009,Mont St Hilaire,leucopus,F,Recent,14.5,69,-0.0060,0.0070
RM207,1959,Mont St Hilaire,leucopus,M,Historical,19.3,86,-0.0101,-0.0073
RM218,1959,Mont St Hilaire,leucopus,M,Historical,20.6,84,-0.0086,0.0056
RM223,1959,Mont St Hilaire,leucopus,M,Historical,16.5,83,0.0015,0.0042
RM265,1960,Mont St Hilaire,leucopus,M,Historical,NA,89,0.0065,-0.0011
RM2490_2,1966,Mont St Hilaire,leucopus,M,Historical,24.1,98,-0.0113,0.0022
RM2491_1,1966,Mont St Hilaire,leucopus,M,Historical,26.3,100,-0.0064,-0.0011
RM2495_2,1966,Mont St Hilaire,leucopus,M,Historical,22.5,102,-0.0086,0.0017
CMN36740,1967,Mont St Hilaire,leucopus,M,Historical,NA,NA,0.0351,-0.0194
CMN36741,1966,Mont St Hilaire,leucopus,M,Historical,NA,NA,0.0176,-0.0123
CMN36742,1966,Mont St Hilaire,leucopus,M,Historical,NA,NA,0.0147,-0.0191
CMN36745,1966,Mont St Hilaire,leucopus,M,Historical,NA,NA,0.0492,0.0029
RM167,1960,Mont St Hilaire,leucopus,M,Historical,NA,74,0.0237,-0.0300
RM169,1960,Mont St Hilaire,leucopus,M,Historical,NA,89,0.0237,-0.0142
RM2486,1966,Mont St Hilaire,leucopus,M,Historical,17.7,88,0.0157,-0.0182
RM264,1960,Mont St Hilaire,leucopus,M,Historical,NA,91,0.0188,-0.0137
VM1,2007,Mont St Hilaire,leucopus,M,Recent,19.5,97,-0.0130,0.0060
VM9,2007,Mont St Hilaire,leucopus,M,Recent,17.5,85,-0.0061,0.0039
VM13,2007,Mont St Hilaire,leucopus,M,Recent,14.75,69,0.0065,-0.0121
VM39,2007,Mont St Hilaire,leucopus,M,Recent,16.75,73,0.0033,-0.0150
VM46,2007,Mont St Hilaire,leucopus,M,Recent,17.75,80,0.0164,-0.0242
VM48,2007,Mont St Hilaire,leucopus,M,Recent,21.75,90,-0.0043,-0.0016
VM49,2007,Mont St Hilaire,leucopus,M,Recent,23.75,92,-0.0004,0.0080
VM75,2007,Mont St Hilaire,leucopus,M,Recent,21.5,84,-0.0077,-0.0118
VM76,2007,Mont St Hilaire,leucopus,M,Recent,16.5,76,-0.0059,-0.0089
VM131,2008,Mont St Hilaire,leucopus,M,Recent,14,80,0.0040,-0.0114
VM133,2008,Mont St Hilaire,leucopus,M,Recent,17.75,90,-0.0017,-0.0051
VM134,2008,Mont St Hilaire,leucopus,M,Recent,16.5,74,-0.0083,0.0038
VM232,2009,Mont St Hilaire,leucopus,M,Recent,20.5,79,-0.0056,-0.0068
VM255,2009,Mont St Hilaire,leucopus,M,Recent,17,76,0.0034,-0.0067
VM315,2009,Mont St Hilaire,leucopus,M,Recent,21.5,75,-0.0110,-0.0034
VM322,2009,Mont St Hilaire,leucopus,M,Recent,12,68,-0.0123,0.0002
VM327,2009,Mont St Hilaire,leucopus,M,Recent,13.5,72,-0.0050,-0.0084
VM329,2009,Mont St Hilaire,leucopus,M,Recent,17.5,79,-0.0004,-0.0033
VM331,2009,Mont St Hilaire,leucopus,M,Recent,19,76,-0.0041,-0.0123
VM339,2009,Mont St Hilaire,leucopus,M,Recent,11,60,-0.0059,-0.0062
RM173,1960,Mont St Hilaire,maniculatus,F,Historical,NA,83,0.0102,0.0154
RM208,1959,Mont St Hilaire,maniculatus,F,Historical,14.4,83,0.0077,0.0072
RM221,1959,Mont St Hilaire,maniculatus,F,Historical,20.6,84,0.0031,0.0130
RM243,1960,Mont St Hilaire,maniculatus,F,Historical,NA,87,0.0102,0.0115
RM2521,1966,Mont St Hilaire,maniculatus,F,Historical,20,92,0.0097,0.0093
RM2546,1966,Mont St Hilaire,maniculatus,F,Historical,26,98,-0.0029,0.0133
RM1069,1966,Mont St Hilaire,maniculatus,F,Historical,26,95,0.0371,-0.0032
RM166,1960,Mont St Hilaire,maniculatus,F,Historical,NA,104,0.0097,0.0193
RM225,1959,Mont St Hilaire,maniculatus,F,Historical,27.8,88,0.0208,0.0009
RM2510,1966,Mont St Hilaire,maniculatus,F,Historical,25.6,100,0.0230,0.0009
RM2516,1966,Mont St Hilaire,maniculatus,F,Historical,21.2,94,0.0303,0.0008
VM22,2007,Mont St Hilaire,maniculatus,F,Recent,23,86,0.0139,0.0127
VM27,2007,Mont St Hilaire,maniculatus,F,Recent,16.25,87,0.0200,0.0064
VM34,2007,Mont St Hilaire,maniculatus,F,Recent,17.75,77,0.0060,0.0007
VM35,2007,Mont St Hilaire,maniculatus,F,Recent,23.75,101,0.0209,0.0146
VM47,2007,Mont St Hilaire,maniculatus,F,Recent,18,88,0.0039,-0.0080
VM53,2007,Mont St Hilaire,maniculatus,F,Recent,16,81,0.0138,0.0121
VM54,2007,Mont St Hilaire,maniculatus,F,Recent,16,77,0.0148,0.0157
VM56,2007,Mont St Hilaire,maniculatus,F,Recent,12.5,74,0.0082,0.0001
VM57,2007,Mont St Hilaire,maniculatus,F,Recent,10.75,66,0.0183,0.0074
VM64,2007,Mont St Hilaire,maniculatus,F,Recent,13.5,79,0.0084,-0.0082
VM84,2007,Mont St Hilaire,maniculatus,F,Recent,14.5,NA,0.0172,0.0060
VM251,2009,Mont St Hilaire,maniculatus,F,Recent,23.5,83,0.0058,0.0114
RM209,1959,Mont St Hilaire,maniculatus,M,Historical,17.5,91,-0.0033,0.0169
RM238,1960,Mont St Hilaire,maniculatus,M,Historical,NA,86,-0.0003,0.0112
RM2522,1966,Mont St Hilaire,maniculatus,M,Historical,19.3,92,0.0082,0.0012
RM2529,1966,Mont St Hilaire,maniculatus,M,Historical,25.5,98,-0.0017,0.0158
