Genus,species,Year,Location,region,subregion,Elytron.mm
Pterostichus,algidus,1916,Pender harbour,Georgia_Depression,Sunshine_Coast,6.07
Pterosticus,algidus,1917,Wellington ,Georgia_Depression,Nanaimo,7.90
Pterostichus,algidus,1923,vancouver ,Georgia_Depression,Lower_Mainland,7.21
Pterosticus,algidus,1923,Victoria ,Georgia_Depression,Victoria,6.09
Pterostichus,algidus,1924,Burnaby,Georgia_Depression,Lower_Mainland,6.91
Pterostichus,algidus,1924,Burnaby,Georgia_Depression,Lower_Mainland,7.16
Pterostichus,algidus,1925,Duncan ,Georgia_Depression,Duncan,7.73
Pterosticus,algidus,1925,Victoria,Georgia_Depression,Victoria,6.84
Pterostichus,algidus,1926,Pender harbour,Georgia_Depression,Sunshine_Coast,6.73
Pterostichus,algidus,1926,Pender Harbour ,Georgia_Depression,Sunshine_Coast,7.04
Pterostichus,algidus,1927,Genoa Bay ,Georgia_Depression,Duncan,6.67
Pterostichus,algidus,1927,burnaby island ,Georgia_Depression,Lower_Mainland,6.67
Pterostichus,algidus,1927,UBC,Georgia_Depression,Lower_Mainland,6.21
Pterostichus,algidus,1927,UBC,Georgia_Depression,Lower_Mainland,6.56
Pterostichus,algidus,1927,Vancouver ,Georgia_Depression,Lower_Mainland,6.71
Pterostichus,algidus,1927,nanaimo ,Georgia_Depression,Nanaimo,6.85
Pterostichus,algidus,1927,Nanaimo ,Georgia_Depression,Nanaimo,7.17
Pterostichus,algidus,1927,Nanaimo ,Georgia_Depression,Nanaimo,5.98
Pterostichus,algidus,1927,Nanaimo ,Georgia_Depression,Nanaimo,6.86
Pterostichus,algidus,1927,Nanaimo ,Georgia_Depression,Nanaimo,6.60
Pterostichus,algidus,1927,Nanaimo ,Georgia_Depression,Nanaimo,5.99
Pterosticus,algidus,1927,Victoria,Georgia_Depression,Victoria,8.22
Pterosticus,algidus,1927,Victoria,Georgia_Depression,Victoria,7.54
Pterosticus,algidus,1927,Victoria,Georgia_Depression,Victoria,8.02
Pterosticus,algidus,1927,Victoria,Georgia_Depression,Victoria,7.86
Pterosticus,algidus,1927,Victoria ,Georgia_Depression,Victoria,6.41
Pterosticus,algidus,1927,Victoria ,Georgia_Depression,Victoria,7.53
Pterostichus,algidus,1928,Duncan,Georgia_Depression,Duncan,6.99
Pterostichus,algidus,1928,Duncan,Georgia_Depression,Duncan,7.24
Pterostichus,algidus,1928,Duncan,Georgia_Depression,Duncan,7.53
Pterostichus,algidus,1928,Duncan ,Georgia_Depression,Duncan,6.99
Pterostichus,algidus,1928,Duncan BC,Georgia_Depression,Duncan,7.10
Pterostichus,algidus,1928,Genoa Bay ,Georgia_Depression,Duncan,6.15
Pterostichus,algidus,1928,Genoa Bay ,Georgia_Depression,Duncan,6.72
Pterostichus,algidus,1928,Pender Island,Georgia_Depression,Gulf_Islands,5.87
Pterostichus,algidus,1928,Point Grey,Georgia_Depression,Lower_Mainland,6.38
Pterostichus,algidus,1928,UBC,Georgia_Depression,Lower_Mainland,5.97
Pterostichus,algidus,1928,UBC,Georgia_Depression,Lower_Mainland,7.35
Pterostichus,algidus,1928,UBC,Georgia_Depression,Lower_Mainland,6.31
Pterostichus,algidus,1928,UBC,Georgia_Depression,Lower_Mainland,7.02
Pterostichus,algidus,1928,UBC,Georgia_Depression,Lower_Mainland,5.68
Pterostichus,algidus,1928,UBC ,Georgia_Depression,Lower_Mainland,6.83
Pterostichus,algidus,1928,UBC ,Georgia_Depression,Lower_Mainland,7.04
Pterostichus,algidus,1928,Pender Harbour,Georgia_Depression,Sunshine_Coast,7.12
Pterostichus,algidus,1928,Pender harbour,Georgia_Depression,Sunshine_Coast,7.29
Pterostichus,algidus,1928,Pender harbour,Georgia_Depression,Sunshine_Coast,6.80
Pterostichus,algidus,1928,Pender Harbour,Georgia_Depression,Sunshine_Coast,7.59
Pterostichus,algidus,1928,Pender harbour,Georgia_Depression,Sunshine_Coast,6.67
Pterostichus,algidus,1928,Pender harbour,Georgia_Depression,Sunshine_Coast,6.57
