Loc.,Mst.mean,Mst.cv,Keep
AUST,21.73,0.032,Keep
BANC,22.75,0.032,Keep
BAST,21.91,0.032,Keep
BERM,21.70,0.032,
BISH,21.94,0.032,Keep
BTRG,21.58,0.032,Keep
EDMN,22.47,0.032,Keep
GAIN,21.95,0.032,Keep
GOVE,22.63,0.032,Keep
HOUS,21.98,0.032,Keep
JOSE,22.15,0.032,Keep
LA,21.82,0.032,Keep
LAWO,22.50,0.032,Keep
MEXC,22.08,0.032,
MONT,22.53,0.032,Keep
NMEX,22.06,0.032,Keep
OAHU,22.11,0.032,
OAKL,22.03,0.032,Keep
OAXC,22.23,0.032,
PROG,22.34,0.032,Keep
SACR,22.35,0.032,Keep
SALI,22.18,0.032,Keep
SISS,22.62,0.032,Keep
SLC,22.21,0.032,Keep
TAMP,21.99,0.032,Keep
TOPO,22.56,0.032,
TOPU,22.17,0.032,
UDAL,22.49,0.032,Keep
VANC,22.20,0.032,Keep
WKAN,22.07,0.032,Keep
