Loc.,Mst.mean,Mst.cv,Keep
AUST,29.6,0.032,Keep
BANC,30.42,0.032,Keep
BAST,29.66,0.032,Keep
BISH,30.35,0.032,Keep
BTRG,29.53,0.032,Keep
EDMN,29.88,0.032,Keep
GAIN,29.9,0.032,Keep
GOVE,30.42,0.032,Keep
HOUS,29.78,0.032,Keep
JOSE,29.9,0.032,Keep
LA,29.83,0.032,Keep
LAWR,30.08,0.032,Keep
MEXC,29.83,0.032,
MONT,30.05,0.032,Keep
NMEX,29.55,0.032,Keep
OAKL,29.84,0.032,Keep
OAXC,29.91,0.032,
PROG,30.24,0.032,Keep
SACR,29.84,0.032,Keep
SALI,30.02,0.032,Keep
SISS,30.29,0.032,Keep
SLC,29.83,0.032,Keep
TAMP,29.75,0.032,Keep
TOPO,30.21,0.032,
TOPU,29.91,0.032,
UDAL,30.11,0.032,Keep
VANC,29.69,0.032,Keep
WKAN,29.92,0.032,Keep
