Trait,Site,Gen. time,Baker L.,Year,N,Mean,SE,Year,N,Mean,SE
Males all len.,Pleasure,4,1945,1992,27,444.9,6.4,1993,24,432.8,8.1
Males all len.,Cedar,4,1945,1992,41,464.9,5.2,1993,40,444.3,6.3
Males all len.,Issaquah,4,1945,1992,54,437.0,4.6,1993,40,475.7,6.3
Males 1.2 len.,Pleasure,4,1945,1992,15,434.7,7.4,1993,17,440.1,4.7
Males 1.2 len.,Cedar,4,1945,1992,33,456.2,5.0,1993,32,437.5,3.7
Males 1.2 len.,Issaquah,4,1945,1992,54,436.7,4.0,1993,4,453.8,9.5
Females all len.,Pleasure,4,1945,1992,13,423.1,7.2,1993,17,444.0,8.8
Females all len.,Cedar,4,1945,1992,93,461.3,2.7,1993,77,465.7,4.1
Females all len.,Issaquah,4,1945,1992,29,423.9,4.7,1993,24,472.4,7.2
Females 1.2 len.,Pleasure,4,1945,1992,11,424.4,7.0,1993,11,422.0,5.7
Females 1.2 len.,Cedar,4,1945,1992,80,454.6,2.5,1993,41,445.4,2.8
Females 1.2 len.,Issaquah,4,1945,1992,29,422.7,4.3,1993,2,476.5,12.7
Males all depth,Pleasure,4,1945,1992,27,146.0,2.1,1993,24,141.4,2.4
Males all depth,Cedar,4,1945,1992,41,129.2,1.5,1993,40,124.3,1.4
Males all depth,Issaquah,4,1945,1992,54,136.5,1.4,1993,40,137.7,1.7
