decade,im3y20,mean,sd,V1
700,0.1392239674185181,3.4418780573181243e-6,9.74618013876375e-6,29
720,0.16787611646691025,3.2782541441330677e-6,1.1688592829439876e-5,173
740,0.25647429334750665,4.242680738904346e-6,2.1941981086112536e-5,182
760,0.2702720042384032,4.043324819556028e-6,1.3838935348785675e-5,197
780,0.3196249724893142,4.504488246252155e-6,1.577980091769569e-5,190
800,0.39605411322846007,5.298666326337999e-6,2.0241658443366655e-5,196
820,0.5801912225456527,7.414489559822273e-6,3.084362521588859e-5,239
840,0.5958930680835207,7.359339369447343e-6,2.9348051235723107e-5,231
860,0.7567543144427973,9.05847804602288e-6,3.56653324350713e-5,250
880,0.5917480976283882,6.854172141084488e-6,2.3978530785549068e-5,219
900,0.5653391297493303,6.335893774928614e-6,3.285325199562199e-5,219
920,0.6806917012861736,7.34485412929101e-6,4.959290515999914e-5,170
940,0.6593398754488481,6.843742868622701e-6,2.8698745841758873e-5,177
960,0.7430951569660049,7.393025349616514e-6,3.257059948832414e-5,206
980,1.0506007319928043,9.931096163049127e-6,6.251829958618313e-5,203
1000,0.9831664596118541,8.814000139958888e-6,3.0213537583904648e-5,206
1020,1.3922822746375623,1.1759935423318825e-5,5.204816274057387e-5,302
1040,1.7567879439301883,1.398215562839897e-5,5.256735242781026e-5,317
1060,1.832967970479191,1.4085667951119582e-5,4.8539216097872754e-5,343
1080,2.1510405691091936,1.5853310405863575e-5,6.106874988192413e-5,331
1100,2.4865430761304124,1.723940677868502e-5,5.76710964265358e-5,370
1120,2.4665051878494,1.641600790581963e-5,5.654624489127473e-5,443
1140,2.9550622465481173,1.8929965385785954e-5,7.165933139029261e-5,474
1160,2.9548580954231474,1.8466362704424938e-5,5.129881490038746e-5,526
1180,2.8053176213979114,1.7062522786368022e-5,5.344325616833287e-5,470
1200,2.6883463796532903,1.6075357760104346e-5,5.130189429297282e-5,473
1220,2.900569158839999,1.705906075268627e-5,4.676339750280496e-5,444
1240,3.725733455873655,2.1205809281328072e-5,5.851482652772755e-5,525
1260,3.9111273638795985,2.210375804706347e-5,5.7657271509628826e-5,572
1280,3.6445529026089676,2.087229344265553e-5,5.8321212389616676e-5,513
1300,3.5014165639612433,2.052497209124198e-5,6.374470445553e-5,528
1320,3.7137757414320642,2.24072386957407e-5,7.704668173375241e-5,471
1340,3.1449313180866594,2.0220087556412766e-5,5.797811522875049e-5,462
1360,2.4533485971730586,1.6841362200345007e-5,4.427245535337269e-5,450
1380,2.089830322452158,1.511423618057669e-5,5.3661428641479394e-5,400
1400,2.3770870613746764,1.7907033442624836e-5,6.210840231356226e-5,413
1420,2.414034015650788,1.9126060797283945e-5,4.5448064882156e-5,412
1440,2.7229376437521986,2.312532500829914e-5,4.7352586335789915e-5,435
1460,2.909714081637283,2.7318693846937216e-5,5.0346351639949034e-5,500
1480,3.002294191459272,3.2588646015383895e-5,6.057031144321411e-5,476
1500,2.6750947971973065,3.6352323710350965e-5,7.325432873036849e-5,472
