Lineage,Wgt_g,Est,Gentime,Age,Size
Felis silvestris,5000,2.7,2.7,15000,123.1
,,,,9000,110.1
,,,,5000,105.7
,,,,0,100
Felis silvestris,5000,2.7,2.7,9000,113
,,,,0,100
Felis lynx,7500,3,2.87,20000,99.1
,,,,0,100
Vulpes vulpes,9000,3.2,2.04,9000,99.6
,,,,5000,99.7
,,,,0,100
Canis lupus,40000,4.7,4.7,5000,100.8
,,,,0,100
Ursus arctos ,180000,7,13.5,15000,119.5
,,,,8000,114.2
,,,,5000,110.5
,,,,0,100
Putorius putorius,900,1.7,1.7,5000,100.33
,,,,0,100
Martes martes,1500,2,2,9000,114.4
,,,,5000,108.4
,,,,4000,105.7
,,,,0,100
Gulo gulo,12000,3.4,3.4,10000,111.1
,,,,0,100
Meles meles,12000,3.4,3.4,9000,93.9
,,,,5000,99.99
,,,,0,100
Lutra lutra,7200,3,5.07,9000,96.7
,,,,5000,100.6
,,,,0,100
Apodemus sylvaticus,20,0.6,0.6,1000,97.3
,,,,0,100
