Depth,Age_my,N,Mean,SE,SD
-1749.88,-4.843276,42,89.7548,6.9122,11.1990
-1729.03,-4.772399,51,89.5496,7.3279,13.0828
-1710.46,-4.709266,81,93.4846,4.7296,10.6417
-1689.34,-4.637447,64,86.2632,5.0151,10.0303
-1670.05,-4.571859,69,94.8584,5.7167,11.8717
-1638.84,-4.465756,60,88.4873,4.3137,8.3534
-1619.82,-4.401072,50,92.3443,4.4176,7.8092
-1599.03,-4.330000,59,89.8437,4.8592,9.3311
-1580.97,-4.268991,49,98.9757,4.4695,7.8216
-1561.29,-4.202091,67,105.4488,4.1836,8.5611
-1540.80,-4.132413,51,106.5255,6.0027,10.7170
-1522.56,-4.070415,47,103.6175,6.9901,11.9804
-1502.99,-4.003870,41,105.0839,6.3146,10.1083
-1482.06,-3.932696,58,106.4985,4.8853,9.3013
-1460.97,-3.860988,54,107.7486,6.3404,11.6480
-1441.86,-3.796009,40,105.5856,6.4704,10.2306
-1422.31,-3.729538,73,107.6063,4.9632,10.6014
-1400.63,-3.655839,41,105.4956,6.6523,10.6489
-1381.06,-3.589293,64,106.9620,6.6783,13.3565
-1363.93,-3.531075,34,104.0105,9.0431,13.1825
-1341.99,-3.456471,38,108.0672,8.4193,12.9750
-1322.08,-3.388772,41,108.5895,9.7446,15.5990
-1301.95,-3.320000,59,114.9586,7.1198,13.6720
-1281.81,-3.229053,74,117.3779,6.6002,14.1943
-1261.23,-3.136015,50,112.4606,7.7436,13.6888
-1241.70,-3.047729,75,118.8730,7.0418,15.2460
-1222.15,-2.959352,70,113.2973,6.6522,13.9141
-1201.76,-2.867148,36,109.2288,9.7966,14.6948
-1182.48,-2.779976,47,114.2292,8.9389,15.3205
-1162.31,-2.688804,42,115.9469,9.8743,15.9983
-1143.11,-2.602007,60,119.2236,7.6656,14.8444
-1123.75,-2.514484,75,118.4379,6.7820,14.6834
-1105.08,-2.430000,40,123.6375,8.4192,13.3119
-1082.11,-2.365809,75,134.5459,7.8217,16.9344
