Genus,Locality,Species?,Lm1l,Lm1w,LnLxWM1,Radinsky?,Schankler?,ClydeADE,Age (Ma)
Hyopsodus,95,1,3.5,2.8,2.282,160,160,-54.904,-54.962
Hyopsodus,120,1,3.2,2.7,2.156,240,340,-54.772,-54.874
Hyopsodus,203,1,3.1,2.7,2.125,240,340,,-54.874
Hyopsodus,205,1,3.4,2.7,2.217,240,340,,-54.874
Hyopsodus,90,1,3.2,2.6,2.119,280,300,,-54.830
Hyopsodus,90,1,3.6,2.9,2.346,280,300,,-54.830
Hyopsodus,90,1,3.0,2.7,2.092,280,300,,-54.830
Hyopsodus,90,1,3.2,2.6,2.119,280,300,,-54.830
Hyopsodus,90,1,3.5,3.0,2.351,280,300,,-54.830
Hyopsodus,90,1,3.1,2.6,2.087,280,300,,-54.830
Hyopsodus,119,1,3.3,2.8,2.224,340,320,,-54.764
Hyopsodus,119,1,3.2,2.9,2.228,340,320,,-54.764
Hyopsodus,119,1,3.4,2.9,2.288,340,320,,-54.764
Hyopsodus,119,1,3.6,3.0,2.380,340,320,,-54.764
Hyopsodus,92,1,3.4,2.8,2.253,360,480,,-54.742
Hyopsodus,92,1,3.5,3.0,2.351,360,480,,-54.742
Hyopsodus,92,1,3.5,3.0,2.351,360,480,,-54.742
Hyopsodus,104,1,3.8,3.0,2.434,360,480,,-54.742
Hyopsodus,106,1,3.3,2.7,2.187,360,480,,-54.742
Hyopsodus,206,1,3.5,2.5,2.169,360,480,,-54.742
Hyopsodus,206,1,3.4,3.0,2.322,360,480,,-54.742
Hyopsodus,206,1,3.8,3.1,2.466,360,480,,-54.742
Hyopsodus,207,1,3.3,2.6,2.149,360,480,-54.687,-54.742
Hyopsodus,207,1,3.7,3.2,2.471,360,480,-54.687,-54.742
Hyopsodus,207,1,3.3,2.7,2.187,360,480,-54.687,-54.742
Hyopsodus,207,1,3.3,2.6,2.149,360,480,-54.687,-54.742
Hyopsodus,93,1,3.4,2.7,2.217,440,480,,-54.654
Hyopsodus,97,1,3.3,2.8,2.224,440,480,,-54.654
Hyopsodus,97,1,3.5,2.9,2.317,440,480,,-54.654
Hyopsodus,97,1,3.6,2.8,2.311,440,480,,-54.654
Hyopsodus,97,1,3.2,2.7,2.156,440,480,,-54.654
Hyopsodus,97,1,3.8,3.0,2.434,440,480,,-54.654
Hyopsodus,97,1,3.6,2.9,2.346,440,480,,-54.654
Hyopsodus,97,1,3.4,2.9,2.288,440,480,,-54.654
Hyopsodus,87,1,3.8,3.2,2.498,440,600,,-54.654
Hyopsodus,87,1,3.7,3.3,2.502,440,600,,-54.654
Hyopsodus,87,1,3.6,3.0,2.380,440,600,,-54.654
Hyopsodus,214,2,3.4,3.0,2.322,460,620,,-54.632
Hyopsodus,214,2,3.3,2.7,2.187,460,620,,-54.632
Hyopsodus,214,2,3.5,2.9,2.317,460,620,,-54.632
Hyopsodus,214,2,3.2,2.5,2.079,460,620,,-54.632
Hyopsodus,214,2,3.6,3.0,2.380,460,620,,-54.632
Hyopsodus,214,2,3.4,2.6,2.179,460,620,,-54.632
Hyopsodus,214,2,3.4,2.8,2.253,460,620,,-54.632
Hyopsodus,214,2,3.4,2.8,2.253,460,620,,-54.632
Hyopsodus,214,2,3.3,2.7,2.187,460,620,,-54.632
Hyopsodus,214,2,3.7,2.8,2.338,460,620,,-54.632
Hyopsodus,214,2,3.6,3.0,2.380,460,620,,-54.632
Hyopsodus,214,2,3.0,2.5,2.015,460,620,,-54.632
Hyopsodus,214,2,3.3,2.6,2.149,460,620,,-54.632
Hyopsodus,214,2,3.3,2.7,2.187,460,620,,-54.632
Hyopsodus,214,2,3.5,2.9,2.317,460,620,,-54.632
Hyopsodus,214,2,3.5,3.0,2.351,460,620,,-54.632
Hyopsodus,214,2,3.6,3.0,2.380,460,620,,-54.632
Hyopsodus,215,2,3.5,2.6,2.208,500,700,-54.529,-54.588
Hyopsodus,215,2,3.3,2.5,2.110,500,700,-54.529,-54.588
Hyopsodus,215,2,3.6,3.0,2.380,500,700,-54.529,-54.588
Hyopsodus,215,2,3.4,2.9,2.288,500,700,-54.529,-54.588
Hyopsodus,215,2,3.5,2.8,2.282,500,700,-54.529,-54.588
Hyopsodus,215,2,3.5,3.0,2.351,500,700,-54.529,-54.588
Hyopsodus,215,2,4.0,3.1,2.518,500,700,-54.529,-54.588
Hyopsodus,125,2,,,2.256,685,,,-54.385
Hyopsodus,125,2,,,2.557,685,,,-54.385
Hyopsodus,125,2,,,2.557,685,,,-54.385
Hyopsodus,125,2,,,2.557,685,,,-54.385
Hyopsodus,125,2,,,2.448,685,,,-54.385
Hyopsodus,80,3,3.8,3.0,2.434,800,1320,,-54.258
Hyopsodus,80,3,3.4,2.9,2.288,800,1320,,-54.258
Hyopsodus,80,3,3.9,3.0,2.460,800,1320,,-54.258
Hyopsodus,80,3,3.8,3.1,2.466,800,1320,,-54.258
Hyopsodus,80,3,3.6,2.9,2.346,800,1320,,-54.258
Hyopsodus,80,3,3.7,2.8,2.338,800,1320,,-54.258
Hyopsodus,80,3,3.8,3.0,2.434,800,1320,,-54.258
Hyopsodus,80,3,3.5,3.1,2.384,800,1320,,-54.258
Hyopsodus,80,3,3.4,3.0,2.322,800,1320,,-54.258
Hyopsodus,127,3,3.4,3.2,2.387,860,1500,-53.982,-54.192
Hyopsodus,219,3,3.5,3.0,2.351,860,1500,,-54.192
Hyopsodus,83,3,3.4,2.8,2.253,920,1420,,-54.126
Hyopsodus,83,3,3.6,3.0,2.380,920,1420,,-54.126
Hyopsodus,67,3,3.6,2.5,2.197,940,1460,,-54.104
Hyopsodus,78,3,3.5,2.7,2.246,960,1600,,-54.082
Hyopsodus,45,4,3.2,2.6,2.119,1140,1820,,-53.884
Hyopsodus,45,4,3.0,2.4,1.974,1140,1820,,-53.884
Hyopsodus,45,4,3.1,2.6,2.087,1140,1820,,-53.884
Hyopsodus,45,4,3.3,2.6,2.149,1140,1820,,-53.884
Hyopsodus,45,4,3.2,2.6,2.119,1140,1820,,-53.884
Hyopsodus,45,4,3.5,2.8,2.282,1140,1820,,-53.884
Hyopsodus,45,4,3.2,2.6,2.119,1140,1820,,-53.884
Hyopsodus,45,4,3.2,2.6,2.119,1140,1820,,-53.884
Hyopsodus,45,4,3.4,2.6,2.179,1140,1820,,-53.884
Hyopsodus,45,4,3.4,2.7,2.217,1140,1820,,-53.884
Hyopsodus,45,4,3.3,2.6,2.149,1140,1820,,-53.884
