Strat_a,Strat_b,N,Mean,Mean.SE,V,V.SE,Strat.cm
1,6,8,38.5,1.9,13.2,3.3,3.5
7,20,17,40.1,1.0,10.2,1.7,13.5
26,28,6,37.0,1.2,7.8,2.2,27.0
29,39,14,37.0,1.1,11.4,2.2,34.0
40,45,10,45.3,1.4,9.6,2.1,42.5
46,50,14,44.1,0.8,7.0,1.3,48.0
52,54,9,31.9,1.2,10.9,2.6,53.0
56,78,62,49.0,0.9,14.0,1.3,67.0
79,90,14,57.4,1.7,11.4,2.1,84.5
91,120,25,59.4,1.3,10.7,1.5,105.5
121,135,8,61.0,3.4,15.6,3.9,128.0
136,160,15,49.9,1.3,10.1,1.8,148.0
161,200,17,51.6,0.7,5.9,1.1,180.5
201,240,16,48.4,1.2,9.7,1.7,220.5
241,260,37,46.7,0.9,11.1,1.3,250.5
261,280,25,49.4,0.9,8.7,1.2,270.5
281,300,13,50.7,1.2,8.8,1.7,290.5
301,320,29,48.7,0.9,9.9,1.4,310.5
321,340,10,45.9,1.7,11.7,2.0,330.5
341,380,16,47.5,1.3,11.0,2.0,360.5
381,440,14,50.5,1.2,8.8,1.6,410.5
441,460,24,55.2,0.9,8.0,1.2,450.5
461,500,10,57.7,1.9,10.5,2.3,480.5
501,520,11,60.1,2.0,10.8,2.3,510.5
521,539,6,55.0,2.8,12.5,3.6,530.0
540,540,10,54.7,2.5,14.4,3.2,540.0
541,559,10,54.6,1.9,11.1,2.5,550.0
560,620,11,60.6,2.2,11.8,2.5,590.0
621,680,26,63.2,1.8,14.8,2.9,650.5
681,759,13,68.2,2.2,11.7,2.3,720.0
760,792,2,65.0,,,,776.0
794,854,1,62.0,,,,824.0
855,864,10,57.3,2.6,14.4,3.2,859.5
865,865,18,66.8,2.0,12.6,2.1,865.0
866,880,10,62.4,2.5,12.6,2.8,873.0
896,920,10,50.2,1.9,11.8,2.6,908.0
955,990,38,55.1,0.9,9.9,1.1,972.5
1075,1093,24,53.8,1.0,9.4,1.4,1084.0
1094,1120,25,52.4,1.0,9.3,1.3,1107.0
1121,1135,36,53.8,1.0,11.7,1.4,1128.0
1250,1280,11,57.1,1.9,11.3,2.4,1265.0
1281,1310,30,56.5,1.1,10.8,1.4,1295.5
