Age_myr,N,Msize,Ssize,Mshape,Sshape
0.10,45,0.251,0.074,0.060,0.054
0.23,41,0.239,0.078,0.063,0.057
0.43,45,0.232,0.074,0.033,0.070
0.81,42,0.245,0.093,0.061,0.047
1.00,47,0.194,0.092,0.058,0.045
1.14,52,0.170,0.072,0.050,0.050
1.43,53,0.216,0.072,0.067,0.059
1.71,53,0.203,0.066,0.050,0.062
1.84,58,0.214,0.087,0.043,0.073
1.98,41,0.194,0.081,0.029,0.047
2.11,46,0.158,0.063,0.032,0.060
2.24,43,0.144,0.069,0.030,0.058
2.31,41,0.188,0.094,0.034,0.059
2.37,43,0.177,0.081,0.047,0.058
2.41,54,0.200,0.078,0.028,0.059
2.43,46,0.208,0.081,0.046,0.050
2.53,51,0.169,0.085,0.050,0.071
2.60,57,0.190,0.090,0.064,0.055
2.74,45,0.190,0.077,0.042,0.039
2.80,37,0.169,0.079,0.029,0.061
2.89,52,0.206,0.071,0.068,0.058
3.03,44,0.205,0.078,0.059,0.059
3.09,39,0.216,0.097,0.076,0.060
3.13,43,0.215,0.092,0.061,0.055
3.26,49,0.231,0.088,0.029,0.086
3.32,52,0.198,0.073,0.064,0.058
3.39,40,0.210,0.088,0.070,0.083
3.69,50,0.208,0.064,0.058,0.054
3.74,35,0.219,0.061,0.038,0.054
3.88,45,0.234,0.068,0.035,0.057
3.95,60,0.204,0.068,0.028,0.051
4.08,36,0.229,0.077,0.036,0.083
4.11,48,0.211,0.064,0.027,0.061
4.23,44,0.161,0.068,0.019,0.079
4.30,49,0.168,0.064,0.023,0.075
4.40,42,0.170,0.050,0.019,0.062
4.47,56,0.143,0.049,-0.009,0.049
4.60,57,0.148,0.048,0.030,0.055
4.73,49,0.174,0.062,0.035,0.057
4.79,64,0.182,0.064,0.030,0.059
4.86,43,0.175,0.063,0.027,0.050
4.99,48,0.166,0.057,0.032,0.053
5.022,73,0.204,0.071,0.025,0.059
5.040,39,0.127,0.036,0.033,0.048
5.059,41,0.136,0.034,0.018,0.059
5.076,54,0.124,0.054,-0.001,0.059
5.089,45,0.167,0.067,0.049,0.067
5.107,39,0.158,0.070,0.041,0.065
5.116,53,0.161,0.056,0.049,0.059
5.134,47,0.116,0.036,-0.001,0.058
5.151,38,0.146,0.034,0.027,0.050
5.170,47,0.134,0.037,-0.001,0.055
5.179,41,0.180,0.062,0.014,0.064
5.197,48,0.139,0.036,0.011,0.064
5.214,37,0.117,0.042,-0.019,0.051
5.223,60,0.133,0.037,0.004,0.054
5.241,44,0.130,0.036,0.011,0.061
5.259,30,0.118,0.029,-0.006,0.046
5.279,46,0.147,0.051,0.026,0.057
5.299,48,0.114,0.044,-0.003,0.061
5.309,54,0.161,0.053,-0.002,0.051
5.318,43,0.165,0.066,0.017,0.073
5.326,47,0.154,0.046,0.016,0.055
5.335,57,0.150,0.073,0.003,0.079
5.349,44,0.119,0.035,-0.028,0.048
5.357,47,0.158,0.049,-0.008,0.058
5.367,36,0.112,0.042,-0.007,0.032
5.371,34,0.121,0.043,-0.027,0.047
5.376,49,0.106,0.039,-0.007,0.057
5.380,55,0.127,0.052,-0.010,0.057
5.385,49,0.119,0.042,-0.010,0.054
5.388,48,0.143,0.042,0.002,0.053
5.389,48,0.112,0.036,0.005,0.059
5.421,26,0.095,0.027,-0.028,0.045
5.425,46,0.085,0.026,-0.032,0.052
5.430,48,0.083,0.020,-0.047,0.056
5.434,43,0.086,0.026,-0.050,0.058
5.448,61,0.091,0.027,-0.028,0.051
5.456,42,0.081,0.018,-0.046,0.042
5.465,38,0.087,0.020,-0.058,0.038
5.474,53,0.082,0.030,-0.061,0.048
5.483,40,0.088,0.022,-0.037,0.049
5.492,47,0.075,0.021,-0.049,0.042
5.504,13,0.067,0.011,-0.053,0.043
5.524,45,0.086,0.027,-0.046,0.046
5.580,42,0.091,0.023,-0.049,0.052
5.65,50,0.060,0.031,-0.073,0.063
5.81,54,0.061,0.020,-0.072,0.054
5.88,45,0.053,0.014,-0.046,0.052
6.01,51,0.060,0.020,-0.066,0.055
6.04,47,0.063,0.020,-0.068,0.055
6.14,47,0.056,0.020,-0.059,0.063
6.24,52,0.061,0.016,-0.046,0.061
6.37,45,0.050,0.012,-0.090,0.046
6.50,49,0.065,0.014,-0.077,0.046
