Int.my,D,
1,4.87,
1,4.46,
1,4.26,
1,2.95,
2,8.56,
2,7.74,
2,7.74,
2,6.37,
2,6.16,
2,6.05,
2,5.89,
2,5.57,
2,5.17,
2,4.98,
2,4.86,
2,4.67,
2,4.46,
2,4.16,
2,4.16,
2,3.97,
2,3.97,
2,3.97,
2,3.85,
2,3.85,
2,3.79,
2,3.50,
2,2.05,
3,3.66,
4,13.44,
4,10.03,
4,8.44,
4,7.55,
4,6.97,
4,6.86,
4,6.86,
4,6.86,
4,6.66,
4,6.46,
4,6.46,
4,6.28,
4,6.16,
4,5.98,
4,5.98,
4,5.85,
4,5.85,
4,5.17,
4,4.86,
4,4.86,
4,4.75,
4,4.75,
4,4.61,
4,4.50,
4,4.50,
4,4.35,
4,4.35,
4,4.35,
4,4.35,
4,4.35,
4,4.23,
4,3.85,
4,3.85,
4,3.55,
4,3.55,
4,3.55,
4,3.35,
4,3.23,
4,2.86,
7,5.87,
9,9.93,
9,8.14,
11,9.83,
11,9.72,
11,8.84,
11,8.04,
11,7.84,
13,17.90,
13,12.32,
13,11.32,
13,10.82,
13,8.84,
13,3.55,
13,3.34,
15,5.27,
15,4.66,
16,4.56,
17,10.34,
17,6.18,
17,5.56,
17,5.45,
17,4.85,
17,4.85,
17,4.65,
17,4.15,#REF!
