No.,Species1,Wgt1_kg,Species2,Wgt2_kg,Int_my,M1_ap,M1_trbl,M1prl,M1hgt
1,Hyracotherium angustidens,26.6,Hyracotherium tapirinum,34.9,3,0.101,0.106,0.091,0.096
2,Hyracolherium angustidens,26.6,Hyracotherium vaccassiense,24.9,3,0.01,0.026,-0.02,0
3,Hyracotherium vaccassiense,24.9,Orohippus pumulis,28,2.5,0.011,0.029,0.012,0.068
4,Orohippus pumilis,28,Epihippus gracilis,28.4,4.5,0.026,-0.01,0.006,0.02
5,Orohippus pumulis,28,Epihippus uintensis,32.6,4.5,0.047,0.052,0.042,-0.007
6,Epihippus gracilis,28.4,Mesohippus bairdii,42.2,14,0.023,0.037,0.032,0.036
7,Mesohippus bairdii,42.2,Miohippus quartus,53.8,6,0.022,0.018,0.012,0.022
8,Miohippus quartus,53.8,Parahippus tyleri,86.7,5,0.067,0.052,0.066,0.091
9,Miohippus quartus,53.8,Archaeohippus blackbergi,43.9,7,-0.017,-0.018,-0.029,-0.021
10,Parahippus tyleri,86.7,Parahippus leonensis,76.6,2,-0.062,-0.039,-0.179,0.088
11,Parahippus leonensis,76.6,Merychippus gunteri,,2,-0.023,-0.107,-0.116,0.172
12,Parahippus leonensis,76.6,Merychippus isonensis,85.2,3,0.03,0.014,0.028,0.339
13,Parahippus leonensis,76.6,Merychippus insignis,100.6,3,0.053,0.011,0.038,0.228
14,Anchitherium clarencei,131.7,Hypohippus large sp.,403,8,0.062,0.072,0.077,0.077
15,Anchitherium clarencei,131.7,Megahippus mckennai,194.9,4,0.083,0.096,0.094,0.109
16,Megahippus mckennai,194.9,Megahippus matthewi,266.2,2,0.036,0.022,0.064,0.219
17,Merychippus isonesus,85.2,Pliohippus pernix,155.3,2.5,0.072,0.101,0.185,0.18
18,Dinohippus leidyanus,229.9,Onohippidium galushai,310.7,2,0.033,0.027,0.03,-0.074
19,Dinohippus leidyanus,229.9,Dinohippus mexicanus,243,2,-0.004,-0.026,0.074,-0.054
20,Dinohippus mexicanus,243,Equus simplicidens,424.7,2,0.064,0.081,0.088,0.142
21,Equus simplicidens,424.7,Equus scotti,495.6,2,0.04,0.005,0.162,0.097
22,Mesohippus bairdi,42.2,Mesohippus barbouri,47.7,1,0.157,0.146,0.136,0.05
23,MiohippuA quartus,53.8,Anchitherium clarencei,131.7,7,0.065,0.057,0.049,0.046
24,Parahippus leonensis,76.6,Protohippus simus,161.5,6,0.051,0.034,0.073,0.247
25,Parahippus leonensis,76.6,Merychippus primus,71,3,-0.009,-0.026,-0.012,0.154
26,Equus simplicidens,424.7,Equus complicatus,449.6,2,0,-0.014,0.115,0.054
27,Hipparion shirleyi,77.5,Hipparion tehonense,122.8,2.75,0.061,0.053,0.056,0.13
28,Neohipparion coloradense,136.1,Neohipparion  trampasense,142,3.38,-0.015,-0.067,-0.025,0.076
29,Nannippus ingenuus,139,Nannippus peninsulatus,79.9,3.25,-0.025,-0.026,0.051,0.059
30,Cormohipparion goorisi,101.9,Cormohipparion occidentale,151.3,3.75,0.04,0.005,0.029,0.125
