Bg,Bs,Bd,B/C,C,E+F,G+H
GrN-4976,GrN-4978,ave.,Z-2423,Z-193/2424,Z-537,Z-536
10830,12320,12695,13070,16940,22660,27800
9,10,15,3,3,2,5
1.2267,1.2326,1.2499,1.1632,1.209,1.2556,1.2149
0.061,0.048,0.065,0.039,0.056,0.054,0.056
8,11,16,3,4,2,6
0.7608,0.802,0.8109,0.7885,0.8154,0.7793,0.8154
0.064,0.04,0.064,0.035,0.046,0.049,0.045
16,25,35,12,12,4,16
0.9322,0.9243,0.8879,0.9282,0.8961,0.8879,0.9594
0.056,0.063,0.086,0.083,0.065,0.023,0.057
16,23,28,13,12,4,14
0.9083,0.9322,0.9083,0.9243,0.9123,0.9478,0.9632
0.057,0.055,0.056,0.06,0.042,0.035,0.046
30,36,39,22,26,9,13
0.7975,0.7839,0.793,0.802,0.8286,0.8372,0.8154
0.05,0.068,0.059,0.061,0.083,0.06,0.04
24,32,36,20,22,10,13
0.8629,0.8796,0.892,0.8879,0.9002,0.9322,0.9083
0.059,0.071,0.09,0.073,0.089,0.087,0.073
14,8,12,5,6,2,6
0.9821,1.008,1.0006,1.0296,0.9895,1.008,1.0296
0.058,0.053,0.069,0.088,0.048,0.072,0.116
14,7,12,5,6,2,6
0.678,0.708,0.6523,0.6831,0.6678,0.6931,0.7419
0.06,0.072,0.073,0.058,0.045,0.059,0.047
54,62,80,36,39,14,33
0.3075,0.3001,0.3075,0.3001,0.3001,0.3075,0.3507
0.095,0.088,0.087,0.115,0.096,0.103,0.085
55,60,78,35,39,13,31
2.0541,2.0882,1.9988,2.0541,2.0956,2.2311,2.4248
0.314,0.283,0.352,0.385,0.402,0.327,0.293
6,8,5,4,8,3,5
1.141,1.1442,1.1378,1.0852,1.1314,1.1282,1.1569
0.054,0.037,0.062,0.016,0.037,0.065,0.049
6,8,6,4,7,2,4
0.4055,0.4055,0.4253,0.3577,0.3716,0.5008,0.4253
0.069,0.005,0.056,0.087,0.055,0.064,0.031
18,11,20,8,12,13,5
0.9322,0.8879,0.9322,0.9594,0.9203,0.9555,0.9858
0.059,0.053,0.067,0.065,0.063,0.065,0.073
16,11,21,7,13,10,3
0.3221,0.3148,0.3577,0.3577,0.3716,0.3646,0.4055
0.039,0.034,0.068,0.091,0.048,0.072,0.051
13,14,21,5,15,7,13
0.8502,0.8109,0.8372,0.8671,0.8286,0.8329,0.8544
0.072,0.044,0.064,0.045,0.057,0.054,0.063
16,15,20,5,14,5,5
0.3148,0.3148,0.3001,0.3577,0.3507,0.2852,0.2852
0.058,0.085,0.042,0.087,0.091,0.111,0.111
8,4,10,5,2,3,3
1.206,1.1694,1.1787,1.2296,1.1474,1.1694,1.1787
0.039,0.022,0.043,0.085,0.011,0.014,0.054
8,4,10,4,4,4,3
0.1484,0.0953,0.1133,0.1133,0.2231,0.1655,0.0953
0.103,0.045,0.086,0.071,0.048,0.11,0.026
