Locality,Elevation,Age_Ma,N1,M1,CV1,N2,M2,CV2,N3,M3,CV3
69003,3295,3181111,14,2.99,5.1,14,1.41,7.5,14,1.32,7.9
67002,3280,3189444,11,3.10,4.3,11,1.47,4.9,10,1.38,5.3
109,3250,3206111,5,3.09,4.4,5,1.48,7.6,5,1.36,8.5
85029,3225,3220000,14,3.14,4.4,14,1.52,6.2,14,1.43,7.3
70016,3175,3247778,5,2.89,4.0,5,1.41,7.6,5,1.30,8.5
69007,3115,3281112,18,3.09,5.0,18,1.49,8.6,18,1.32,9.2
85006,3070,3306112,11,3.00,5.0,11,1.42,8.8,11,1.33,9.8
80005,3037,3324445,24,2.99,5.5,24,1.44,7.3,24,1.35,8.4
85005,3030,3328334,16,3.02,5.4,16,1.46,7.1,16,1.37,6.4
65006,3000,3345001,28,2.97,7.3,28,1.42,7.2,28,1.33,7.9
