Loc.,Samp.,Age_kyr,N,W,Ws,H,Hs,IL,Ils,AW,Aws,AH,Ahs,PH,PHs,PW,PWs,BL,BLs,OL,OLs,WH,WHs
8,BCF86D,39800,15,27,1.77,17.6,1.92,10.2,0.9,15.3,1.11,14.5,0.79,2.43,0.55,8.4,0.6,1.88,0.19,1.44,0.14,4.71,0.23
8,BCF85C,33600,14,28.4,1.34,19.9,1.22,10.7,0.84,16.2,0.92,15.9,0.71,2.73,0.42,9.58,0.66,1.87,0.18,1.43,0.21,4.78,0.23
8,BCF84B,32400,20,28,0.92,19.3,0.6,10.9,0.93,15.8,1.12,15.4,0.77,2.64,0.27,8.64,0.73,1.92,0.1,1.54,0.04,4.82,0.13
8,BCF83B,30100,20,27.9,0.75,19,1.07,10.7,0.83,15.7,0.48,14.8,0.5,2.88,0.1,8.69,0.43,1.88,0.21,1.48,0.22,4.78,0.13
8,BCF82B,26600,20,28.2,0.88,19.7,1.39,10.8,0.6,16,0.82,15.2,0.71,2.68,0.33,8.7,0.93,1.87,0.15,1.45,0.15,4.88,0.21
9,BCF92B,24800,12,27.7,0.84,19.8,1.1,11.4,0.54,15.9,0.72,15.4,0.85,2.35,0.19,7.82,0.4,1.96,0.12,1.42,0.07,5.04,0.1
8,BCF81B,22300,17,28.3,0.92,23.2,1.78,13.3,0.98,15.8,0.82,15.5,1,1.97,0.24,7.73,0.65,2.65,0.18,1.16,0.18,5.83,0.21
8,BCF80A,18230,14,26.5,1.03,21.5,1.33,13.2,1.03,15.6,0.96,14.8,0.98,1.92,0.22,7.58,0.74,2.68,0.23,1.14,0.14,5.8,0.19
9,BCF90A,16700,12,25.3,1.05,19.9,1.05,12.8,0.73,14.4,0.71,13.9,0.65,1.87,0.26,6.94,0.68,2.65,0.16,1.1,0.08,5.62,0.15
9,BCF91A,12300,14,25.5,0.83,20.2,0.86,12.9,0.65,14.5,0.67,13.8,0.65,1.89,0.13,6.83,0.57,2.64,0.14,1.08,0.1,5.66,0.16
7,BCF7,5960,13,24.1,0.75,18.7,0.74,12.4,0.53,14,0.93,13.2,0.88,1.83,0.16,6.8,0.56,2.63,0.19,0.97,0.07,5.63,0.18
10,BCF101,1980,30,23.6,0.73,18.6,0.94,12.3,0.45,13.9,0.93,13.4,0.55,1.82,0.08,6.68,0.4,2.57,0.15,0.92,0.08,5.69,0.14
6,BCF6,1550,30,24,0.85,19.2,0.98,13,0.5,14.6,1.1,14.2,0.82,1.85,0.1,7.03,0.51,2.5,0.17,1.1,0.09,5.72,0.2
10,BCF100,960,30,23.8,0.82,18.8,0.83,12.4,0.53,14.1,0.53,13.3,0.67,1.83,0.13,6.95,0.65,2.66,0.24,1,0.08,5.7,0.16
5,BCL5,0,25,24.5,1.11,20.3,1.04,12.2,0.81,14.1,0.72,13.6,0.77,1.89,0.21,6.81,0.75,2.73,0.24,1.01,0.12,5.67,0.16
