Level,LM1L,LM1W,Speciment,Plot,Symbol,Fill,Unknown,Holotype
885,6.20,5.50,68749,1,0,1,0,TRA
885,6.20,5.10,71617,1,0,1,0,
885,6.40,5.60,71618,1,0,1,0,
890,7.10,6.20,73525,1,0,1,0,
890,7.50,6.30,73718,1,0,1,0,
950,6.70,5.40,71298,1,0,1,0,
985,6.50,5.70,69924,1,0,1,0,
985,5.90,5.30,71818,1,0,1,0,TRA
990,6.70,5.30,73723,1,0,1,0,
1030,6.20,5.40,68413,1,0,1,0,
1030,6.60,5.60,68415,1,0,1,0,TRA
1030,6.50,5.40,68418,1,0,1,0,
1030,6.60,5.90,68424,1,0,1,0,Good
1030,7.00,5.80,68425,1,0,1,0,
1030,7.00,6.00,68427,1,0,1,0,
1030,6.20,5.30,71372,1,0,1,0,
1050,6.30,5.50,71804,1,0,1,0,Good
1050,6.80,5.70,71815,1,0,1,0,
1100,6.50,5.60,83438,1,0,1,0,
1150,6.70,5.70,80560,1,0,1,0,
1150,6.70,5.80,80564,1,0,1,0,
1150,6.80,5.70,83012,1,0,1,0,
1150,6.70,5.80,87828,1,0,1,0,
1170,6.30,5.50,66640,1,0,1,0,
1180,6.30,5.30,71169,1,0,1,0,TRA
1180,6.00,5.70,71174,1,0,1,0,TRA
1180,6.50,5.60,71180,1,0,1,0,
1185,6.10,5.60,67185,1,0,1,0,
1185,6.30,5.40,67195,1,0,1,0,
1185,6.80,5.80,67198,1,0,1,0,
1185,6.50,5.20,67204,1,0,1,0,
1185,6.00,4.80,67205,1,0,1,0,
1185,6.40,5.50,67210,1,0,1,0,
1185,6.20,5.50,67222,1,0,1,0,
1185,6.30,5.30,69234,1,0,1,0,
1185,6.30,5.20,69900,1,0,1,0,
1185,6.40,5.20,69903,1,0,1,0,
1185,6.50,5.40,69909,1,0,1,0,
1185,6.60,6.00,69915,1,0,1,0,
1185,6.20,5.50,69916,1,0,1,0,TRA good
1185,6.80,6.10,69918,1,0,1,0,
1190,6.30,5.50,66624,1,0,1,0,
1190,6.10,5.60,66625,1,0,1,0,
1190,6.60,5.40,66637,1,0,1,0,
1190,6.10,5.60,66638,1,0,1,0,
1190,6.50,5.80,69311,1,0,1,0,
1195,6.10,5.10,66323,1,0,1,0,
1195,6.30,5.40,66324,1,0,1,0,TRA
1195,6.40,5.60,66328,1,0,1,0,
1195,6.60,5.60,66331,1,0,1,0,
1195,5.80,5.00,82016,1,0,1,0,
