Time_yr,N,PS,variance,N,DS,variance,N,TP,variance
88500,,,,,,,,,
88750,1,1,,1,1,,1,1,
89000,5,1,,5,1,,3,1,
89250,,,,,,,,,
89500,,,,,,,,,
89750,5,0.516,0.144,5,1.213,0.041,3,1.289,0.055
90000,27,0.714,0.086,28,1.335,0.048,20,0.824,0.152
90250,22,0.946,0.023,29,1.115,0.02,27,0.794,0.118
90500,31,0.87,0.043,27,1.124,0.022,26,1.082,0.076
90750,42,0.787,0.109,43,1.052,0.015,39,0.888,0.098
91000,98,0.799,0.063,115,1.054,0.014,100,0.831,0.111
91250,68,0.719,0.094,66,1.104,0.018,53,0.786,0.101
91500,63,1.053,0.067,56,1.357,0.069,52,1.332,0.132
91750,45,0.93,0.058,47,1.108,0.024,42,0.975,0.109
92000,56,0.993,0.04,56,1.084,0.019,50,0.868,0.146
92250,19,0.859,0.048,21,1,,16,0.881,0.071
92500,34,0.939,0.032,34,1.043,0.015,25,0.849,0.167
92750,95,1.774,0.2,85,1.966,0.115,75,1.667,0.264
93000,106,3,,96,2.867,0.018,71,3.045,0.057
93250,101,3,,93,2.844,0.016,79,3.1,0.046
93500,48,3,,45,2.825,0.011,35,2.752,0.042
93750,82,3,,59,2.688,0.036,46,2.413,0.067
94000,32,3,,27,2.228,0.092,23,2.247,0.02
94250,21,2.87,0.023,21,2.159,0.055,19,1.814,0.023
94500,28,3,,24,2.02,0.075,22,1.799,0.079
94750,41,3,,35,2.091,0.059,32,1.694,0.118
95000,17,3,,15,2.045,0.065,11,1.83,0.062
95250,28,3,,24,1.582,0.066,22,1.707,0.052
95500,26,3,,25,1.57,0.075,24,1.521,0.093
95750,66,2.876,0.036,55,1.298,0.053,48,1.521,0.064
96000,54,2.87,0.026,48,1.438,0.05,40,1.643,0.104
96250,69,2.864,0.016,60,1.357,0.044,53,1.714,0.084
96500,47,2.89,0.013,43,1.255,0.04,42,1.873,0.057
96750,59,2.562,0.039,57,1.401,0.049,55,1.479,0.083
97000,100,2.058,0.079,93,1.258,0.037,87,1.67,0.072
97250,75,2.052,0.099,68,1.161,0.032,62,1.261,0.074
97500,89,2.014,0.09,78,1.15,0.024,79,1.275,0.113
97750,57,2.307,0.077,44,1.236,0.039,41,1.52,0.085
98000,75,2.118,0.104,67,1.168,0.03,65,1.213,0.047
98250,97,1.78,0.101,81,1.168,0.03,72,1.135,0.071
98500,35,1.353,0.089,37,1.358,0.053,33,1.413,0.126
98750,88,1.685,0.089,85,1.333,0.045,81,1.357,0.101
99000,60,1.306,0.056,54,1.448,0.05,51,1.289,0.095
99250,89,1.256,0.075,80,1.247,0.039,72,1.326,0.064
99500,58,1.414,0.07,58,1.356,0.048,48,1.238,0.05
99750,43,1.348,0.063,36,1.356,0.058,33,1.426,0.139
100000,36,1.43,0.068,32,1.403,0.064,30,1.259,0.036
100250,29,1.332,0.05,22,1.291,0.049,19,1.372,0.042
100500,69,1.228,0.042,61,1.44,0.049,60,1.322,0.076
100750,32,1.262,0.069,26,1.501,0.071,24,1.278,0.046
101000,46,1.207,0.064,43,1.458,0.062,38,1.434,0.097
101250,66,1.181,0.067,66,1.517,0.044,62,1.327,0.049
101500,26,1.068,0.051,26,1.314,0.04,23,1.082,0.05
101750,46,1.168,0.039,43,1.438,0.068,35,1.271,0.084
102000,76,1.16,0.049,67,1.37,0.051,63,1.24,0.089
102250,38,1.099,0.078,38,1.473,0.065,32,1.337,0.065
102500,6,1.163,0.037,7,1.38,0.047,6,1.615,0.178
102750,5,1,,4,2,,4,1.711,0.041
103000,43,1.128,0.048,38,1.3,0.05,28,1.246,0.07
103250,76,1.082,0.018,69,1.351,0.057,70,1.183,0.082
103500,61,1.011,0.015,55,1.315,0.05,47,1.316,0.06
103750,56,1.002,0.014,55,1.196,0.03,42,1.076,0.093
104000,94,1.08,0.044,84,1.15,0.027,68,1.064,0.108
104250,36,1.131,0.033,37,1.227,0.033,35,1.176,0.135
104500,46,1.016,0.041,43,1.101,0.018,38,1.287,0.079
104750,40,1.083,0.043,30,1.156,0.026,24,1.306,0.056
105000,55,1.042,0.026,52,1.138,0.027,45,1.175,0.067
105250,60,0.938,0.04,51,1.055,0.011,49,0.924,0.149
105500,37,0.915,0.044,29,1.054,0.019,23,1.036,0.051
105750,54,1.039,0.008,47,1.092,0.017,36,1.074,0.123
106000,27,1.035,0.045,20,1.225,0.034,17,1.462,0.056
106250,10,1,,8,1,,6,1.289,0.044
106500,7,1.362,0.085,4,1,,5,1.352,0.049
106750,12,0.862,0.107,10,1.325,0.065,7,1.521,0.47
107000,2,1,,1,1,,1,1,
107250,10,1.144,0.048,8,1.502,0.103,5,1.702,0.892
107500,12,1.1,0.092,12,1.379,0.064,11,1.176,0.202
107750,7,1.424,0.058,7,1.246,0.039,5,1.702,0.089
