No,Spec.,Species,Kimura et al (2013b),Age,Time Slice,Locality,Tooth,Length,Width,VanDam1997,RatioAnterostyle,Angle(anterostyle),Angle(enterostyle),1X,1Y,2X,2Y,3X,3Y,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y,10X,10Y,11X,11Y,12X,12Y,13X,13Y,UniX,UniY
1,221,Karnimata huxleyi,,6.5,Time 8,13,M1/,1.980,1.380,1.160,0.473,48.000,67.000,-0.001,-0.001,-0.001,0.000,0.000,-0.002,-0.002,0.000,0.002,-0.001,0.003,0.004,0.001,-0.001,0.000,-0.003,-0.009,0.002,-0.019,-0.010,-0.001,-0.011,0.022,-0.021,0.001,0.002,0.043,-0.016
2,230,Karnimata huxleyi,,6.5,Time 8,13,M1/,1.890,1.350,1.214,0.624,61.000,70.000,-0.001,-0.001,-0.002,0.000,0.000,-0.002,-0.003,0.003,0.006,-0.007,0.003,0.008,0.001,0.002,0.001,-0.016,-0.018,-0.002,-0.030,-0.007,0.003,-0.003,0.022,-0.024,-0.015,0.012,0.034,0.006
3,233,Karnimata huxleyi,,6.5,Time 8,13,M1/,2.050,1.400,1.181,0.533,58.000,67.000,0.001,0.001,0.001,0.002,0.002,0.000,-0.003,0.003,0.001,-0.004,0.000,-0.003,0.004,0.003,0.004,-0.008,-0.009,0.008,-0.022,-0.001,0.000,-0.012,0.019,-0.019,0.004,0.009,0.043,0.019
4,239,Karnimata huxleyi,,6.5,Time 8,13,M1/,2.140,1.470,1.215,0.627,57.000,64.000,-0.002,-0.001,0.001,0.001,0.000,0.000,-0.004,-0.005,0.002,-0.003,0.003,0.004,0.007,-0.001,-0.007,-0.013,0.004,0.010,-0.014,0.010,0.010,-0.011,0.016,-0.019,0.015,0.002,0.060,0.001
5,240,Karnimata huxleyi,,6.5,Time 8,13,M1/,2.170,1.490,1.192,0.641,59.000,71.000,-0.004,-0.003,0.002,0.005,0.003,-0.001,-0.005,0.002,0.001,-0.004,0.005,0.002,0.009,0.003,0.000,-0.004,0.000,0.016,-0.009,0.000,0.020,-0.008,0.016,-0.030,-0.009,0.014,0.048,0.005
6,241,Karnimata huxleyi,,6.5,Time 8,13,M1/,1.830,1.300,1.153,0.591,50.000,67.000,-0.001,0.000,0.001,0.000,-0.001,-0.001,-0.003,-0.004,0.003,-0.001,0.008,0.005,0.004,-0.001,-0.001,-0.013,-0.014,0.008,-0.018,-0.014,0.019,-0.011,0.031,-0.008,-0.022,0.018,0.034,-0.006
7,245,Karnimata huxleyi,,6.5,Time 8,13,M1/,1.960,1.380,1.160,0.585,43.000,60.000,0.001,0.002,0.002,0.001,0.000,0.000,-0.005,-0.004,0.000,-0.002,0.003,0.000,0.006,0.006,-0.001,-0.010,-0.006,-0.005,-0.029,-0.028,0.018,-0.026,0.049,0.013,0.016,0.004,0.031,-0.011
8,246,Karnimata huxleyi,,6.5,Time 8,13,M1/,2.150,1.450,1.194,0.545,46.000,72.000,-0.002,-0.003,0.001,0.000,-0.003,0.000,-0.004,-0.005,0.002,-0.005,0.005,0.008,0.003,0.000,-0.003,-0.013,-0.010,0.017,-0.016,0.003,0.007,-0.021,0.018,-0.005,-0.012,0.012,0.063,0.017
9,252,Karnimata huxleyi,,6.5,Time 8,13,M1/,2.280,1.490,1.213,0.566,62.000,65.000,0.000,0.000,-0.001,-0.002,-0.002,0.000,0.000,-0.003,0.001,-0.006,0.003,0.006,0.000,-0.002,0.002,-0.009,-0.002,0.003,-0.008,-0.013,0.008,-0.002,0.006,0.003,0.006,0.000,0.020,-0.004
10,253,Karnimata huxleyi,,6.5,Time 8,13,M1/,2.230,1.530,1.210,0.578,47.000,60.000,-0.001,0.000,0.003,0.002,0.002,0.002,-0.001,0.006,0.001,0.001,0.007,0.003,0.001,-0.005,0.003,0.000,-0.007,0.016,0.000,-0.015,0.023,-0.002,0.006,-0.002,0.008,0.002,0.015,-0.029
11,210,Mus auctor,,6.5,Time 8,13,M1/,1.930,1.110,1.069,0.364,42.000,54.000,0.002,0.002,-0.001,0.001,0.002,-0.002,0.000,0.009,-0.004,-0.001,-0.007,-0.010,-0.002,0.007,0.014,0.005,0.002,-0.017,0.000,-0.041,-0.015,0.000,-0.004,0.006,0.043,-0.002,-0.067,-0.008
12,211,Mus auctor,,6.5,Time 8,13,M1/,1.720,1.100,1.123,0.405,34.000,65.000,-0.001,0.000,0.000,0.001,0.002,-0.002,-0.002,0.004,-0.001,0.003,-0.005,-0.009,0.002,0.007,0.003,0.005,-0.015,-0.019,-0.003,-0.032,0.001,-0.002,0.023,-0.015,0.008,0.002,-0.010,0.015
13,214,Mus auctor,,6.5,Time 8,13,M1/,1.690,1.060,1.074,0.381,34.000,60.000,0.003,0.003,-0.004,-0.001,0.002,-0.004,0.007,0.008,-0.003,0.005,0.002,-0.004,-0.007,-0.008,0.014,0.010,0.000,0.006,0.002,-0.008,-0.005,-0.012,-0.002,0.017,0.029,-0.016,-0.004,-0.045
