Section ID,Section Depth T (cm),Section Depth B (cm),Corrected mblf T,Age cal yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
GLAD2-LT01-2B-1H-1,0,2,0,2540,20.03,27.58,26.25,20.99,21.58,21.7,41.46,27.88,24.33,25.59,45.92,26.99,29,33.64,19.17,23.46,23.82,20.98,20.55,20.71,32.64,17.76,20.54,25.7,23.38,22.32,28.19,24.42,16.45,27.41,21.95,18.72,24.48,23.64,47.75,27.4,28.74,19.79,25.47,43,24.34,38.44,25.55,27.29,23.54,24.55,19.67,25.64,52.79,38.79
GLAD2-LT01-2B-2H-1,120,122,1.43,8699.01,24.24,20.07,133.4,13.97,22.03,15.73,42.71,21.29,23.89,27.43,32.62,17.01,16.91,35.11,17.81,13.72,22.03,32.68,14.99,13.68,42.46,29.09,31.19,40.54,29.83,66.32,37.75,41.93,38.9,18.21,16.74,31.63,16.19,16.53,31.6,24.87,37.58,22.27,22.97,23.57,28.73,15.83,43.19,19.91,20.94,22.8,19.04,13.69,21.37,28.51
GLAD2-LT01-2B-2H-1,140,142,1.63,9560.41,18.5,26.7,42.44,50.92,41.19,29.62,41.14,15.28,41.07,49.33,40.32,13.39,41.07,45.06,43.91,26.8,35.42,37.15,26.87,15.34,46.55,17.35,21.69,22.7,31.44,41.02,25.48,49.05,42.75,41,41.23,26.94,36.6,45.15,41.5,25.61,58.8,32.79,31.88,18.43,43.02,48.48,17.58,34.05,40.54,42.28,41.5,43.92,43.25,57.93
GLAD2-LT01-2B-2H-2,0,2,1.74,10034.18,23.68,168,49.84,33.42,29.28,144.54,31.34,150.7,36.05,45.59,57.28,37.4,14.84,22.81,42.62,53.86,76.34,33.36,35.01,36.56,28.38,36.38,21.62,41.77,34.8,38.17,148.9,37.9,33.19,33.96,18.66,49.61,43.63,38.29,42.62,23.43,34.24,52.26,38.21,140.5,35.38,39.16,28.84,38.48,19.5,27.12,151.26,74.41,,
GLAD2-LT01-2B-2H-2,20,22,1.94,10895.58,46.52,33.08,37.7,37.01,27.47,60.12,37.93,35.35,28.1,19.26,170.86,43.08,30.83,39.65,40.01,40.04,21.9,16.89,42.59,34.04,31.97,29.88,21.32,25.72,17.77,33.54,27.26,46.93,26.95,32.1,22.32,31.8,28.96,77.93,26.07,28.68,27.1,131.56,36.36,36.24,18.05,36.8,26.26,28.19,24.03,19.47,40.32,34.05,33.16,21.91
GLAD2-LT01-2B-2H-2,40,42,2.14,11756.98,18.16,31.95,31.49,26.31,19.26,28.57,29.72,25.34,28.17,17.83,15.34,27.71,24.62,27.86,22.67,17.22,24.93,16.45,32.26,27.94,17.94,31.51,37.28,24.22,24.85,14.64,38.7,40.9,25.44,17.11,32.28,29.63,31.85,29.94,42.75,18.78,25.61,21.8,19.53,26.13,29.75,20.15,23.17,17.53,21.43,28.42,20.97,20.29,25.12,19.79
GLAD2-LT01-2B-2H-2,60,62,2.34,12618.38,18.36,77.99,47.05,96.96,37.87,34.96,159.62,15.28,40.81,10.62,37.13,40.67,22.85,21.74,27.82,126.82,53.48,103.09,45.52,43.9,79.55,42.73,98.48,55.47,74.82,96.94,30.68,38.2,79.45,85.68,33.97,15.33,52.21,107.88,19.05,8.81,21.34,93.13,41.99,40.4,39.31,18.23,31.56,98.6,32.39,30.02,53.14,40.59,58.23,67.96
GLAD2-LT01-2B-2H-2,80,82,2.54,13479.78,27.85,17.93,17.48,39.64,24.69,27.7,25.11,22.55,10.85,23.68,25.32,32.06,28.78,17.15,30.89,26.51,28.78,12.13,27.84,24.61,46.37,12.46,20.45,12.42,25.15,24.87,38.49,26.06,14.67,29.45,18.43,17.66,21.89,21.87,22.97,17.52,15.99,29.11,20.35,20.25,25.23,26.71,15.75,26.49,22.04,36.44,31.02,30.12,35.27,32.86
GLAD2-LT01-2B-2H-2,100,102,2.74,14341.18,36.37,130.22,33.05,37.04,38.34,25.43,19.75,31.52,54.82,33.35,35.78,60.48,31.03,27.93,83.38,69.25,22.53,34.63,47.92,18.56,121.76,46.79,71.94,29.81,55.17,26.87,38.56,33.22,68.47,53.98,26.74,35.96,26.6,19.87,50.08,29.62,42.14,71.31,73.72,34.26,67.59,145.78,15.47,16.59,57.85,36.25,59.9,24.22,85.59,46.85
GLAD2-LT01-2B-2H-2,120,122,2.94,15202.58,41.28,27.43,11.09,12.17,18.62,31.23,17.47,16.06,14.12,17.43,23.36,42.55,15.55,28.76,19.71,19.92,34.55,14.03,34.49,27.74,35.35,45.37,28.45,38.38,28.94,27.84,35.69,30.55,15.62,26.48,25.58,18.17,33.03,27.79,23.23,20.3,24.18,21.89,36.48,24,22.54,38.89,42.68,26.95,26.63,16.93,33.06,20.42,24.2,10.25
GLAD2-LT01-2B-3H-1,20,22,3.43,17313.01,35.83,12.92,17.01,50.36,18,40.22,44.69,20.14,19.68,45.73,37.51,38.62,43.57,39.88,41.76,28.12,33.15,23.71,34.25,12.63,33.5,33.5,28.33,13.3,26.15,16.2,29.37,39.29,22.11,31.79,15.11,28.17,38.66,37.33,30.82,49.47,14.39,36.98,38.01,38.53,19.2,29.61,29.2,35.76,32.14,48.42,13.69,35.09,36.69,
GLAD2-LT01-2B-3H-1,40,42,3.63,18174.41,17.51,31.53,14.24,14.1,41.19,18.3,40.68,16.65,39.73,18.2,19.15,23.61,38.3,33.81,33.25,16.14,19.96,42.53,22.51,16.48,19.96,22.46,52.86,36.03,13.01,11.32,28.11,15.55,25.23,24.96,31.34,11.32,18.48,15.67,23.58,,,,,,,,,,,,,,,
GLAD2-LT01-2B-3H-1,60,62,3.83,19035.81,20.12,20.33,43.43,30.87,29.03,29.18,34.14,19.72,30.27,36.12,11.55,24.64,20.77,12.67,36.78,44.84,10.58,36.32,26.89,16.88,25,36.31,25.92,29.18,31.52,41.02,19.9,24.58,39.56,24.63,32.39,36.94,16.91,29.33,18.62,17.38,15.85,40.82,22.91,14.65,35.41,20.4,23.88,32.28,31.79,23.76,29.66,34.25,,
GLAD2-LT01-2B-3H-1,80,82,4.03,19897.21,39.39,21.74,26.59,42.64,31.55,26.68,33.89,18.4,23.11,21.13,39.54,20.06,15.37,17.67,29.21,16.2,22.64,34.52,19.42,24.15,26.79,28.74,40.27,25.74,17.63,40.36,49.44,20.12,33.04,41.38,39,18.76,36.49,36.85,31.17,30.27,28.81,32.98,36.13,15.66,29.36,17.41,33.09,36.96,31.35,23.58,19.32,38.25,24.52,
GLAD2-LT01-2B-3H-1,100,102,4.23,20758.61,45.7,15.31,17.5,39.07,18.95,29.58,15.92,37.41,42.46,14.5,22.17,23.26,24.48,38.31,39.78,14.53,21.04,20.94,43.09,24.16,29.66,33.84,9.59,19.96,18.91,10.61,13.61,17.9,17.13,14.07,14.37,15.54,32.27,9.89,16,16.73,26.84,37.88,17.49,52.01,12.45,21.85,36.97,28.54,37.39,15.57,13.21,29.74,11.04,20.62
